Time,PulseCounts
25796.278043978,1
25796.371922623,2
25796.60746361,3
25796.748085559,4
25796.886645908,5
25797.047335283,6
25797.122216172,7
25797.198022288,8
25797.283173845,9
25797.357732826,10
25797.433031643,11
25797.507145455,12
25797.591152138,13
25797.667494218,14
25797.733748391,15
25797.809269301,16
25797.897707019,17
25797.998872543,18
25798.226785891,19
25798.331979893,20
25798.407658322,21
25798.477088266,22
25798.548640402,23
25798.613851163,24
25798.708369441,25
25798.815696229,26
25798.962152366,27
25799.058330353,28
25799.161452533,29
25799.295837736,30
25799.383682415,31
25799.48838036,32
25799.59127015,33
25799.705375259,34
25799.807774455,35
25799.897350769,36
25799.987566216,37
25800.036103896,38
25800.096228027,39
25800.198259814,40
25800.242815332,41
25800.350486751,42
25800.466990962,43
25800.56728076,44
25800.651781593,45
25801.24737279,46
25801.543350779,47
25801.606742459,48
25802.381211173,49
25802.429639946,50
25802.633339962,51
25802.656908143,52
25802.678836335,53
25802.755327509,54
25802.813617836,55
25802.867403907,56
25802.946293774,57
25802.997887559,58
25803.036327609,59
25803.075142494,60
25803.125183662,61
25803.168514212,62
25803.199693902,63
25803.229158771,64
25803.256990652,65
25803.330535444,66
26148.00746588,67
26148.493032852,68
26148.898011947,69
26149.449948871,70
26149.677630318,71
26149.738848585,72
26150.029742585,73
26150.196782638,74
26837.456168021,75
26837.765378277,76
26838.068941931,77
26838.351437848,78
26838.748529809,79
26839.299459904,80
26839.535421583,81
26839.781146442,82
26839.870683693,83
26840.151921343,84
26840.8717212,85
26841.19080893,86
26841.274970431,87
26841.524295141,88
26841.590524995,89
26841.864048012,90
26842.224206821,91
26842.448463217,92
26842.510082715,93
26842.54380933,94
26842.719593888,95
26842.811719355,96
26842.899599523,97
26842.953949558,98
26842.999602289,99
26843.121383888,100
