Time,PulseCounts
25779.381230638,1
25779.669192523,2
25779.73281213,3
25779.830076658,4
25779.935653346,5
25779.985168141,6
25780.003847377,7
25780.050269254,8
25780.072507762,9
25780.125813701,10
25780.205529979,11
25780.292517043,12
25780.558883032,13
25780.642567288,14
25780.714428518,15
25780.800803709,16
25780.875289208,17
25780.988437499,18
25781.051120121,19
25781.213604687,20
25781.334679545,21
25781.500318623,22
25781.624797512,23
25781.712851543,24
25781.806163074,25
25781.935188184,26
25781.943273788,27
25782.052837399,28
25782.150317724,29
25782.211932064,30
25782.297845383,31
25782.403962796,32
25782.515233654,33
25782.686727828,34
25782.921591868,35
25783.012695502,36
25783.106899371,37
25783.175809979,38
25783.237061818,39
25783.287895118,40
25783.347900081,41
25783.380675111,42
25783.474564645,43
25783.573166456,44
25783.693819941,45
25783.828006032,46
25783.913081608,47
25784.008018886,48
25784.086280437,49
25784.152938592,50
25784.222386072,51
25784.34802302,52
25784.438720709,53
25784.523162671,54
25784.607408207,55
25784.701801039,56
25784.795210775,57
25785.042475509,58
25785.136905082,59
25785.21513065,60
25785.312486994,61
25785.42300496,62
25785.563013665,63
25785.699233283,64
25785.826141273,65
25785.961816018,66
25786.15310797,67
25786.268665658,68
25786.377559711,69
25786.452099525,70
25786.520611095,71
25786.604475832,72
25786.733317922,73
25786.856699714,74
25786.969745023,75
25787.09433419,76
25787.188318262,77
25787.283450986,78
25787.435636811,79
25787.662813303,80
25787.7635049,81
25787.88591128,82
25787.993974904,83
25788.370933194,84
25788.623949913,85
25788.746923296,86
25788.870259995,87
25788.989980218,88
25789.326529431,89
25789.487174566,90
25789.560967099,91
25789.629013074,92
25789.735210358,93
25789.887658869,94
25789.980534325,95
25790.068214633,96
25790.169047656,97
25790.239404732,98
25790.323293377,99
25790.420513091,100
25790.51881966,101
25790.630530371,102
25790.848784775,103
25791.006156323,104
25791.096121787,105
25791.222185719,106
25791.31380617,107
25791.39846543,108
25791.46072155,109
26138.653342575,110
26139.129675993,111
26139.672155252,112
26140.727387102,113
26140.864515914,114
26141.064111885,115
26828.217549342,116
26828.801546062,117
26829.1152842,118
26829.426968049,119
26829.753447621,120
26830.527350734,121
26830.65191898,122
26830.879260769,123
26830.943721245,124
26831.443440014,125
26831.483389348,126
26831.675897439,127
