Time,PulseCounts1,PulseCounts2
2758.47945012,1,0
2758.712203952,2,0
2758.866650226,3,0
2758.986408681,4,0
2759.019307901,5,0
2759.085899309,6,0
2759.142524905,7,0
2759.240229415,8,0
2759.332854872,9,0
2759.380923903,10,0
2759.429159934,11,0
2759.463717771,12,0
2759.571601445,13,0
2759.663801308,14,0
2759.709214108,15,0
2759.735422417,16,0
2759.763094935,17,0
2759.793741445,18,0
2759.818411101,19,0
2759.842067902,20,0
2759.899678316,21,0
2759.954716481,22,0
2760.039607653,23,0
2760.128893098,24,0
2760.337811294,25,0
2760.391012508,26,0
2760.43708931,27,0
2760.487862127,28,0
2760.532626813,29,0
2760.585930046,30,0
2760.653921883,31,0
2760.716195276,32,0
2760.772079814,33,0
2760.932648811,34,0
2761.111629573,35,0
2761.171575384,36,0
2761.215731957,37,0
2761.259869493,38,0
2761.314389933,39,0
2761.386818174,40,0
2761.47493656,41,0
2761.675375616,42,0
2763.509114525,42,1
2763.588590641,42,2
2763.678653162,42,3
2763.751843109,42,4
2763.793502507,42,5
2763.826240097,42,6
2763.869120832,42,7
2763.914370834,42,8
2763.981366779,42,9
2764.046495958,42,10
2764.097871536,42,11
2764.167543415,42,12
2764.309584516,42,13
2764.37001255,42,14
2764.418937675,42,15
2764.464643031,42,16
2764.526891274,42,17
2764.581844494,42,18
2764.62432069,42,19
2764.678150424,42,20
2764.734347185,42,21
2764.798965825,42,22
2764.89605724,42,23
2764.983460623,42,24
2765.041055443,42,25
2765.145082159,42,26
2765.265325131,42,27
2765.334200638,42,28
2765.398715685,42,29
2765.449511483,42,30
2765.510705593,42,31
2765.559691867,42,32
2765.612076818,42,33
2765.67209398,42,34
2765.756056036,42,35
2766.100651475,42,36
2766.14773515,42,37
2766.238536025,42,38
2766.285089994,42,39
2766.346875939,42,40
2766.421982855,42,41
2766.5026759,42,42
2766.607814896,42,43
2766.769328598,42,44
2766.83194338,42,45
2766.875282782,42,46
2766.925713653,42,47
2766.974630297,42,48
2767.027880306,42,49
2767.077459452,42,50
2767.123589549,42,51
2767.194780174,42,52
2767.240960641,42,53
2767.285986105,42,54
2767.331844905,42,55
2767.381239106,42,56
2767.425598771,42,57
2767.45209897,42,58
