Time,Data1,Data2
0.020433,0.0,0.0
0.040783,0.0,0.0
0.06111,0.0,0.0
0.081339,0.0,0.0
0.101508,0.0,0.0
0.121859,0.0,0.0
0.142042,0.0,0.0
0.162235,0.0,0.0
0.182384,0.0,0.0
0.202515,0.0,0.0
0.22282,0.0,0.0
0.242958,0.0,0.0
0.263137,0.0,0.0
0.283271,0.0,0.0
0.303459,0.0,0.0
0.323726,0.0,0.0
0.34389,0.0,0.0
0.364049,0.0,0.0
0.384199,0.0,0.0
0.404369,0.0,0.0
0.424649,0.0,0.0
0.444821,0.0,0.0
0.464992,0.0,0.0
0.485126,0.0,0.0
0.505248,0.0,0.0
0.52553,0.0,0.0
0.545685,0.0,0.0
0.565862,0.0,0.0
0.586,0.0,0.0
0.606138,0.0,0.0
0.626467,0.0,0.0
0.646649,0.0,0.0
0.66683,0.0,0.0
0.68696,0.0,0.0
0.707115,0.0,0.0
0.727437,0.0,0.0
0.747568,0.0,0.0
0.767781,0.0,0.0
0.787913,0.0,0.0
0.808057,0.0,0.0
0.828321,0.0,0.0
0.848455,0.0,0.0
0.868616,0.0,0.0
0.888756,0.0,0.0
0.90889,0.0,0.0
0.929689,0.0,0.0
0.94985,0.0,0.0
0.970034,0.0,0.0
0.990185,0.0,0.0
1.010345,0.0,0.0
1.030656,0.0,0.0
1.050799,0.0,0.0
1.070959,0.0,0.0
1.091109,0.0,0.0
1.111269,0.0,0.0
1.131572,0.0,0.0
1.15171,0.0,0.0
1.171867,0.0,0.0
1.192007,0.0,0.0
1.21214,0.0,0.0
1.232423,0.0,0.0
1.252553,0.0,0.0
1.272705,0.0,0.0
1.292836,0.0,0.0
1.312985,0.0,0.0
1.33327,0.0,0.0
1.35344,0.0,0.0
1.3736,0.0,0.0
1.393737,0.0,0.0
1.413885,0.0,0.0
1.434157,0.0,0.0
1.454304,0.0,0.0
1.474467,0.0,0.0
1.494613,0.0,0.0
1.514799,0.0,0.0
1.535088,0.0,0.0
1.555202,0.0,0.0
1.575365,0.0,0.0
1.595496,0.0,0.0
1.615644,0.0,0.0
1.635917,0.0,0.0
1.656053,0.0,0.0
1.676225,0.0,0.0
1.696365,0.0,0.0
1.716555,0.0,0.0
1.736901,0.0,0.0
1.757028,0.0,0.0
1.777073,0.0,0.0
1.797186,0.0,0.0
1.817328,0.0,0.0
1.837637,0.0,0.0
1.857768,0.0,0.0
1.877963,0.0,0.0
1.898121,0.0,0.0
1.91825,0.0,0.0
1.938533,0.0,0.0
1.958678,0.0,0.0
1.978854,0.0,0.0
1.998959,0.0,0.0
2.019117,0.0,0.0
2.039393,0.0,0.0
2.059527,0.0,0.0
2.079692,0.0,0.0
2.099853,0.0,0.0
2.119983,0.0,0.0
2.14027,0.0,0.0
2.160407,0.0,0.0
2.180586,0.0,0.0
2.200747,0.0,0.0
2.220902,0.0,0.0
2.241172,0.0,0.0
2.261295,0.0,0.0
2.281457,0.0,0.0
2.301618,0.0,0.0
2.321767,0.0,0.0
2.342033,0.0,0.0
