Time,Raw Value
281.018795892,0
281.020536732,3440
281.022080071,3440
281.023747965,3424
281.025412749,3440
281.027065014,3456
281.02872465,3424
281.030380508,3424
281.03187155,3456
281.033563686,3424
281.035215136,3440
281.036831235,3424
281.038382796,3424
281.039934597,3424
281.041602455,3440
281.043154128,3456
281.044718522,3440
281.046292268,3440
281.047862737,3440
281.04945915,3440
281.051031822,3440
281.052601402,3424
281.054170204,3424
281.055745506,3440
281.057318012,3424
281.058899536,3440
281.060468319,3440
281.062030732,3440
281.063600645,3440
281.065165299,3440
281.066721805,3440
281.068298921,3424
281.069862057,3472
281.071434858,3424
281.072988234,3440
281.074560184,3424
281.076146894,3456
281.077674622,3440
281.079221516,3440
281.080782077,3424
281.082340805,3424
281.083904199,3424
281.085472612,3424
281.09183695,3440
281.097717916,3440
281.101769449,3424
281.103602474,3424
281.105445036,3424
281.107013004,3424
281.10858614,3424
281.110147312,3424
281.11170754,3456
281.113267082,3456
281.114834088,3440
281.116391094,3424
281.117956136,3408
281.119518827,3440
281.121095388,3456
281.122660375,3424
281.124223955,3440
281.125734831,3424
281.127284614,3424
281.12884362,3424
281.130402607,3440
281.131967612,3440
281.133518933,3440
281.135078623,3424
281.136645981,3424
281.138208116,3440
281.139765936,3424
281.141318998,3440
281.142871799,3408
281.144430194,3424
281.145985422,3440
281.147550001,3440
281.14910097,3424
281.150661883,3424
281.152208259,3456
281.153767005,3424
281.15532514,3424
281.156872442,3440
281.158419985,3456
281.15997312,3424
281.161474255,3440
281.163030223,3424
281.16457747,3440
281.166142086,3424
281.167703629,3440
281.169263098,3456
281.170822437,3440
281.172374072,3456
281.173920725,3424
281.175468564,3424
281.177022922,3440
281.178581409,3440
281.180127118,3456
281.181678327,3424
281.183235222,3440
281.190812693,3424
281.196861011,3440
281.200780099,3424
281.202325494,3440
281.203874259,3472
281.205420764,3424
281.206966899,3440
281.208626498,3440
281.210175226,3456
281.211724287,3440
281.213287903,3440
281.214833668,3440
281.216384785,3440
281.217942346,3424
281.219489166,3424
281.221042024,3424
281.222595529,3440
281.224152128,3456
281.225701503,3424
281.227240305,3424
281.228786829,3424
281.230337964,3424
281.23189197,3424
281.233442161,3424
281.234984759,3440
281.236542431,3456
281.238092029,3440
281.239642276,3440
281.241197096,3440
