Time,Data
0.017039,125.86
0.034186,125.86
0.051122,125.86
0.06804,125.77
0.084911,125.86
0.101636,125.86
0.118702,125.86
0.135537,125.86
0.152434,125.86
0.169264,125.86
0.186058,125.86
0.202858,125.86
0.219712,125.77
0.236526,125.86
0.253326,125.77
0.270159,125.86
0.286996,125.86
0.304424,125.86
0.321311,125.86
0.338187,125.86
0.354993,125.86
0.37199,125.86
0.388708,125.86
0.405507,125.86
0.422445,125.86
0.439244,125.86
0.456047,125.86
0.47288,125.86
0.489757,125.86
0.506557,125.86
0.523539,125.86
0.540273,125.86
0.557092,125.86
0.574,125.86
0.590838,125.86
0.607642,125.77
0.624479,125.86
0.641373,125.86
0.658172,125.86
0.675147,125.86
0.691871,125.86
0.708675,125.86
0.725579,125.86
0.742371,125.86
0.759176,125.86
0.776013,125.86
0.792884,125.86
0.809687,125.86
0.826664,125.86
0.843388,125.86
0.860195,125.86
0.877126,125.86
0.893921,125.86
0.910748,125.86
0.927581,125.77
0.944491,125.86
0.96131,125.86
0.978287,125.86
0.995013,125.86
1.011843,125.86
1.028737,125.86
1.045533,125.86
1.062389,125.86
1.079221,125.86
1.096108,125.86
1.112914,125.86
1.129932,125.86
1.146757,125.86
1.163575,125.86
1.1805,125.86
1.197309,125.86
1.214125,125.86
1.23101,125.86
1.247888,125.86
1.264621,125.86
1.281502,125.86
1.298453,125.86
1.315258,125.86
1.33222,125.86
1.349026,125.86
1.365912,125.86
1.382745,125.77
1.399622,125.86
1.416424,125.86
1.433402,125.86
1.450112,125.86
1.466909,125.86
1.48381,125.86
1.50062,125.86
1.517427,125.86
1.534264,125.86
1.551109,125.86
1.567917,125.86
1.584755,125.86
1.601577,125.86
1.618376,125.86
1.635208,125.86
1.652025,125.86
1.668814,125.86
1.685649,125.86
1.702528,125.86
1.719328,125.86
1.736163,125.86
1.753033,125.86
1.769833,125.86
1.786725,125.86
1.803527,125.86
1.820441,125.86
1.837297,125.86
1.854234,125.86
1.87107,125.86
1.887901,125.86
1.904704,125.86
1.921534,125.86
1.938435,125.86
1.955226,125.86
1.972094,125.77
1.98892,125.86
2.005717,125.86
2.022511,125.86
2.039348,125.86
2.056156,125.86
2.072947,125.86
2.08977,125.86
2.106572,125.86
2.123506,125.86
2.140355,125.86
2.157273,125.86
2.174073,125.86
2.190942,125.86
2.207852,125.86
2.224664,125.86
2.241527,125.86
2.25833,125.86
2.275126,125.86
2.291985,125.86
2.308781,125.86
2.325572,125.86
2.3424,125.86
2.359295,125.86
2.376117,125.86
2.39302,125.86
2.409813,125.86
2.426686,125.86
2.443544,125.86
2.460525,125.86
2.477281,125.86
2.494114,125.86
2.510952,125.86
2.527756,125.86
2.544665,125.86
2.561467,125.86
2.57842,125.86
2.595254,125.86
2.626558,125.86
2.643465,125.86
2.660457,125.86
2.677206,125.86
2.694046,125.86
2.710844,125.86
2.727639,125.86
2.744542,125.86
2.761369,125.86
2.778244,125.86
2.795076,125.86
2.811897,125.86
2.828697,125.77
2.845527,125.86
2.862323,125.86
2.879118,125.86
2.89602,125.86
2.912813,125.86
2.929683,125.86
2.946522,125.86
2.963333,125.86
2.980208,125.86
2.997071,125.86
3.013952,125.86
3.030803,125.86
3.047745,125.86
3.064554,125.86
3.081485,125.86
3.098311,125.86
3.11511,125.86
3.132028,125.86
3.148856,125.86
3.165738,125.86
3.182535,125.86
3.199451,125.86
3.216252,125.86
3.233121,125.86
3.249947,125.86
3.266739,125.86
3.283531,125.86
3.300376,125.86
3.317181,125.86
3.333979,125.86
3.350881,125.86
3.367683,125.77
3.38448,125.86
3.401326,125.86
3.418124,125.86
3.434929,125.86
3.451792,125.86
3.468594,125.86
3.485403,125.86
3.502234,125.86
3.519038,125.86
3.535966,125.86
3.552845,125.86
3.569651,125.86
3.586523,125.86
3.603353,125.86
3.620225,125.86
3.637025,125.86
3.653924,125.86
3.670749,125.86
3.687702,125.86
3.704546,125.86
3.721357,125.86
3.738245,125.86
3.755107,125.86
3.771944,125.86
3.788748,125.86
3.805708,125.86
3.82251,125.86
3.839477,125.86
3.856213,125.86
3.873012,125.86
3.889897,125.86
3.906737,125.86
3.923538,125.86
3.94035,125.86
3.957226,125.86
3.974037,125.86
3.991085,125.86
4.007831,125.86
4.024623,125.86
4.041454,125.86
4.05827,125.86
4.07515,125.86
4.091972,125.86
4.108892,125.86
4.125687,125.86
4.142477,125.86
4.159473,125.86
4.176286,125.86
4.193221,125.86
4.210046,125.86
4.226849,125.86
4.243653,125.86
4.260514,125.86
4.277351,125.86
4.294136,125.86
4.310986,125.86
4.327798,125.86
4.344671,125.86
4.361527,125.77
4.378425,125.86
4.395219,125.86
4.412141,125.77
4.428936,125.86
4.445736,125.77
4.462699,125.86
4.479497,125.86
4.496299,125.86
4.513116,125.86
4.529984,125.86
4.546768,125.86
4.563608,125.86
4.580412,125.86
4.597232,125.86
4.614062,125.86
4.630895,125.86
4.64777,125.86
4.664588,125.86
4.681493,125.86
4.698281,125.86
4.715182,125.86
4.732014,125.86
4.748833,125.86
4.765659,125.86
4.782453,125.86
4.799327,125.86
4.816138,125.86
4.833002,125.86
4.849805,125.86
4.866716,125.86
4.883514,125.86
4.900303,125.86
4.917175,125.86
4.933974,125.86
4.95078,125.86
4.967607,125.86
4.984468,125.86
5.001272,125.86
5.018247,125.86
5.03496,125.86
5.051769,125.86
5.068668,125.86
5.085469,125.86
5.10234,125.86
5.119173,125.86
5.136081,125.86
5.152881,125.86
5.169702,125.86
5.186508,125.86
5.203395,125.86
5.221136,125.86
5.237899,125.86
5.254645,125.86
5.271457,125.86
5.288221,125.86
5.304994,125.86
5.321869,125.77
5.338603,125.86
5.355338,125.86
5.372146,125.86
5.388878,125.86
5.405632,125.86
5.422396,125.86
5.439156,125.86
5.455902,125.86
5.472769,125.86
5.489519,125.86
5.506262,125.86
5.52303,125.86
5.539761,125.86
5.556485,125.86
5.573242,125.86
5.590006,125.86
5.606745,125.86
5.623641,125.86
5.640309,125.86
5.657047,125.86
5.673799,125.86
5.690572,125.86
5.707335,125.86
5.724104,125.86
5.740866,125.86
5.757604,125.86
5.774467,125.86
5.791222,125.86
5.807963,125.86
5.824778,125.86
5.841524,125.86
5.858254,125.86
5.875018,125.86
5.891786,125.86
5.908522,125.86
5.925392,125.86
5.942129,125.86
5.958863,125.86
5.975627,125.86
5.992374,125.86
6.009131,125.86
6.025896,125.86
6.042648,125.86
6.059386,125.86
6.076249,125.86
6.092986,125.86
6.109725,125.86
6.126519,125.77
6.143254,125.86
6.159985,125.86
6.176748,125.86
6.193535,125.86
6.21027,125.86
6.227148,125.77
6.243889,125.86
6.260642,125.86
6.277437,125.86
6.294176,125.86
6.310947,125.86
6.327709,125.86
6.344449,125.86
6.361183,125.86
6.378052,125.86
6.394786,125.86
6.411519,125.77
6.428279,125.86
6.445014,125.86
6.46176,125.86
6.478514,125.86
6.495251,125.86
6.511979,125.86
6.52874,125.86
6.545478,125.86
6.56222,125.86
6.57898,125.86
6.595726,125.86
6.612463,125.86
6.62923,125.86
6.645994,125.86
6.662732,125.77
6.67948,125.86
6.696216,125.86
6.712964,125.86
6.729874,125.86
6.746613,125.86
6.763355,125.86
6.780118,125.86
6.796862,125.86
6.813588,125.86
6.830331,125.86
6.847093,125.86
6.863839,125.86
6.880591,125.86
6.897333,125.86
6.914063,125.86
6.93083,125.86
6.947573,125.86
6.964333,125.77
6.981113,125.86
6.997864,125.86
7.014615,125.86
7.031388,125.86
7.048132,125.86
7.064874,125.86
7.081702,125.86
7.09847,125.86
7.115208,125.86
7.131969,125.86
7.148707,125.86
7.165461,125.86
7.182268,125.86
7.19901,125.77
7.215779,125.86
7.232551,125.86
7.249293,125.77
7.266032,125.86
7.282773,125.86
7.29951,125.86
7.316248,125.86
7.333001,125.86
7.349738,125.86
7.36647,125.86
7.383219,125.86
7.399967,125.86
7.416698,125.86
7.433442,125.77
7.450178,125.86
7.466908,125.86
7.483656,125.86
7.500393,125.86
7.517126,125.86
7.533872,125.86
7.550609,125.86
7.567351,125.86
7.584104,125.86
7.600858,125.86
7.617589,125.86
7.634381,125.86
7.65111,125.86
7.676891,125.86
7.693629,125.86
7.710515,125.77
7.727267,125.86
7.744027,125.86
7.760779,125.86
7.777507,125.86
7.794255,125.86
7.810995,125.86
7.827723,125.86
7.844477,125.86
7.86132,125.77
7.878043,125.86
7.894804,125.86
7.911556,125.86
7.928286,125.86
7.945028,125.86
7.961772,125.86
7.978496,125.86
7.995256,125.86
8.012107,125.86
8.028835,125.86
8.045581,125.86
8.062313,125.86
8.079044,125.86
8.095788,125.86
8.112527,125.86
8.12931,125.86
8.146069,125.86
8.162925,125.86
8.179658,125.86
8.196418,125.86
8.213196,125.86
8.229945,125.86
8.246691,125.86
8.263417,125.86
8.280144,125.86
8.296903,125.86
8.313756,125.86
8.330486,125.86
8.347239,125.86
8.363988,125.86
8.380717,125.86
8.397465,125.86
8.414192,125.86
8.430923,125.86
8.447672,125.86
8.464518,125.86
8.481247,125.86
8.497997,125.86
8.514728,125.86
8.531467,125.86
8.548211,125.86
8.564946,125.86
8.581694,125.86
8.598456,125.86
8.615313,125.86
8.632046,125.86
8.64879,125.86
8.665532,125.86
8.682264,125.86
8.699012,125.86
8.71575,125.86
8.732474,125.86
8.749219,125.86
8.766058,125.86
8.782788,125.86
8.799546,125.86
8.816287,125.86
8.833014,125.86
8.84976,125.95
8.866489,125.77
8.883215,125.86
8.899978,125.86
8.916827,125.86
8.933554,125.86
8.950302,125.86
8.967041,125.86
8.983768,125.86
9.000511,125.86
9.017238,125.86
9.033983,125.86
9.050731,125.86
9.067586,125.86
9.084316,125.86
9.101088,125.86
9.117874,125.86
9.134623,125.86
9.151371,125.86
9.16811,125.86
9.184836,125.86
9.201613,125.86
9.218485,125.86
9.235219,125.86
9.251979,125.77
9.268712,125.86
9.285438,125.86
9.302207,125.77
9.318956,125.77
9.335687,125.86
9.352442,125.86
9.369293,125.86
9.386035,125.86
9.402795,125.77
9.419538,125.86
9.436264,125.86
9.453013,125.86
9.469745,125.86
9.486499,125.77
9.503266,125.86
9.520126,125.77
9.536795,125.77
9.553524,125.77
9.57026,125.6
9.586996,125.51
9.603754,125.51
9.620491,125.51
9.637219,125.33
9.653966,125.07
9.670833,124.63
9.687503,124.37
9.704238,124.28
9.721008,124.19
9.737733,124.1
9.754477,124.1
9.771208,124.01
9.787931,123.66
9.80469,123.13
9.821538,122.78
9.838265,122.7
9.855009,122.7
9.871762,122.7
9.888495,122.78
9.905246,123.31
9.921988,123.66
9.938729,123.84
9.955481,123.84
9.972333,123.84
9.989062,123.84
10.005824,123.84
10.022566,124.01
10.039311,123.49
10.056058,122.78
10.072783,121.46
10.089512,119.62
10.106288,117.69
10.123154,116.1
10.139822,115.31
10.156552,115.22
10.173292,115.05
10.19002,116.1
10.206773,116.98
10.223513,117.25
10.24043,116.98
10.257269,116.19
10.274237,115.49
10.290977,115.4
10.307818,115.4
10.324745,115.49
10.341559,115.4
10.358507,115.31
10.37533,115.22
10.392301,115.22
10.409145,115.31
10.426116,115.31
10.442853,115.31
10.459717,115.31
10.476646,115.31
10.493463,115.31
10.510416,115.31
10.527238,115.31
10.544134,115.31
10.560985,115.31
10.577962,115.4
10.594704,115.84
10.611547,116.02
10.628481,116.98
10.645297,118.92
10.662232,121.73
10.679047,125.16
10.69597,129.38
10.712829,134.82
10.729811,139.57
10.746553,142.65
10.76341,147.74
10.78034,152.13
10.797153,156.09
10.814102,159.69
10.830914,161.54
10.847879,161.63
10.864727,160.93
10.881707,160.49
10.89846,159.26
10.915321,157.76
10.932249,155.04
10.949061,151.26
10.966002,146.51
10.982832,141.15
10.999741,134.74
11.016586,127.44
11.033568,118.21
11.050317,109.95
11.067167,101.07
11.0841,93.08
11.100947,85.87
11.117944,80.77
11.13477,78.48
11.151675,78.56
11.168521,80.06
11.185507,82.79
11.202273,86.31
11.219165,92.81
11.236142,100.63
11.252963,109.95
11.269807,119.36
11.286616,129.38
11.303448,140.88
11.320308,150.63
11.337297,158.03
11.354052,161.63
11.3709,162.6
11.387729,161.63
11.404556,160.31
11.421522,158.03
11.43834,155.21
11.45527,151.44
11.472132,146.07
11.489104,139.13
11.505853,132.36
11.522695,123.84
11.539629,114.61
11.556438,105.73
11.573268,98.26
11.590078,91.49
11.606884,85.69
11.623736,83.06
11.640553,82.71
11.657358,83.85
11.674206,86.04
11.691025,90.0
11.707838,95.45
11.724784,102.57
11.741598,111.53
11.758557,120.94
11.775432,130.43
11.792282,140.97
11.809211,149.24
11.826075,155.04
11.843014,157.5
11.859833,156.97
11.87678,155.3
11.893657,153.46
11.910466,151.69
11.927321,149.33
11.944134,145.72
11.960955,141.06
11.977811,134.82
11.994623,127.18
12.011437,118.48
12.028364,108.81
