Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
7594.800728158,0.646,-0.1777,0.7583,-13.217,-39.672,-112.874,0.061,0.0,0.0,-5455,-553,-2531
7594.900728246,0.6475,-0.1772,0.7563,-13.217,-39.677,-112.874,0.0,0.0,0.0,-5435,-548,-2526
7595.000728594,0.6445,-0.1782,0.7588,-13.217,-39.672,-112.879,0.0,0.0,0.0,-5423,-576,-2514
7595.100728941,0.6479,-0.1768,0.7559,-13.217,-39.672,-112.874,-0.061,0.0,0.0,-5425,-567,-2524
7595.200729029,0.6445,-0.1797,0.7598,-13.217,-39.672,-112.879,0.0,0.1831,0.0,-5448,-550,-2519
7595.300729228,0.646,-0.1772,0.7573,-13.222,-39.666,-112.879,0.0,0.0,0.0,-5448,-551,-2531
7595.400729242,0.6465,-0.1787,0.7573,-13.222,-39.666,-112.879,0.0,0.0,0.0,-5429,-557,-2530
7595.500729552,0.6436,-0.1782,0.7578,-13.222,-39.666,-112.879,0.0,0.0,0.0,-5443,-551,-2530
7595.600729807,0.6475,-0.1772,0.7568,-13.222,-39.666,-112.879,0.0,0.0,0.0,-5439,-563,-2528
7595.700729858,0.6455,-0.1792,0.7588,-13.222,-39.666,-112.879,0.0,0.0,0.0,-5440,-540,-2540
7595.800730057,0.647,-0.1768,0.7563,-13.222,-39.666,-112.879,0.0,0.0,0.0,-5453,-551,-2529
7595.900730405,0.6455,-0.1787,0.7573,-13.222,-39.672,-112.879,0.0,0.0,0.0,-5445,-572,-2548
7596.00073053,0.646,-0.1777,0.7578,-13.222,-39.672,-112.879,0.0,0.0,0.0,-5444,-577,-2534
7596.100730803,0.647,-0.1772,0.7578,-13.222,-39.672,-112.879,0.0,0.0,0.0,-5447,-569,-2529
7596.200730891,0.645,-0.1787,0.7578,-13.222,-39.672,-112.879,0.0,0.0,0.0,-5435,-562,-2527
7596.300731238,0.6479,-0.1768,0.7568,-13.222,-39.672,-112.879,0.0,0.0,0.0,-5454,-550,-2533
7596.400731382,0.645,-0.1787,0.7593,-13.222,-39.672,-112.879,0.0,0.0,0.0,-5454,-556,-2533
7596.500731581,0.647,-0.1782,0.7573,-13.222,-39.672,-112.879,0.0,0.0,0.0,-5419,-559,-2523
7596.60073178,0.646,-0.1782,0.7578,-13.222,-39.677,-112.879,0.0,0.0,0.0,-5423,-561,-2523
7596.70073198,0.6445,-0.1792,0.7573,-13.222,-39.677,-112.879,0.0,0.0,0.0,-5433,-555,-2517
7596.80073229,0.6479,-0.1768,0.7573,-13.222,-39.677,-112.879,0.0,0.0,0.0,-5452,-562,-2532
7596.90073247,0.644,-0.1787,0.7563,-13.222,-39.677,-112.879,0.0,0.0,0.0,-5465,-561,-2526
7597.000732559,0.6484,-0.1768,0.7583,-13.222,-39.677,-112.879,0.0,0.0,0.0,-5433,-558,-2518
7597.100732739,0.6416,-0.1782,0.7607,-13.222,-39.683,-112.879,0.0,0.0,0.0,-5428,-572,-2535
7597.200732938,0.6475,-0.1792,0.7568,-13.239,-39.699,-112.874,0.0,-0.4272,0.0,-5423,-579,-2529
7597.300733267,0.6445,-0.1777,0.7544,-13.239,-39.71,-112.868,0.0,0.2441,0.0,-5434,-558,-2500
7597.4007333,0.645,-0.1787,0.7593,-13.233,-39.694,-112.874,0.0,0.0,0.0,-5425,-558,-2524
7597.50073361,0.647,-0.1763,0.7549,-13.233,-39.705,-112.868,0.0,-0.1831,0.0,-5427,-557,-2536
7597.600733809,0.645,-0.1792,0.7588,-13.233,-39.71,-112.868,0.0,0.061,0.0,-5431,-552,-2531
7597.700734045,0.6475,-0.1763,0.7549,-13.233,-39.71,-112.868,0.0,-0.2441,0.0,-5456,-562,-2530
7597.800734263,0.645,-0.1772,0.7583,-13.233,-39.721,-112.863,0.0,0.061,0.0,-5441,-561,-2523
7597.900734518,0.6489,-0.1777,0.7583,-13.239,-39.716,-112.863,0.0,-0.1831,0.0,-5445,-562,-2522
