Time,Lat,Long,Alt,Speed,Sats
2034.696545773,39.750821,-105.225726,1744.9,,9
2034.796545823,39.750821,-105.225726,1744.9,,9
2034.896545837,39.750821,-105.225726,1744.9,0.93,9
2034.996545905,39.750821,-105.225726,1744.9,0.93,9
2035.096546011,39.750821,-105.225726,1744.9,0.93,9
2035.196546099,39.750823,-105.225726,1744.9,0.93,9
2035.296551464,39.750823,-105.225726,1744.9,0.93,9
2035.396551551,39.750823,-105.225726,1744.9,0.94,9
2035.496551602,39.750823,-105.225726,1744.9,0.94,9
2035.596551652,39.750823,-105.225726,1744.9,0.94,9
2035.696558221,39.750823,-105.225726,1744.9,0.93,9
2035.796558253,39.750823,-105.225726,1744.9,0.93,9
2035.896558285,39.750823,-105.225726,1744.9,0.93,9
2035.996558391,39.750823,-105.225726,1744.9,0.92,9
2036.096558461,39.750823,-105.225726,1744.9,0.92,9
2036.196565215,39.750823,-105.225726,1744.9,0.92,9
2036.296565285,39.750823,-105.225726,1744.9,0.95,9
2036.396565391,39.750823,-105.225726,1744.9,0.95,9
2036.496565405,39.750823,-105.225726,1744.9,0.95,9
2036.596565437,39.750823,-105.225726,1744.9,0.94,9
2036.696565525,39.750823,-105.225726,1744.9,0.94,9
2036.796568631,39.750823,-105.225726,1744.9,0.94,9
2036.896568664,39.750823,-105.225726,1744.9,0.94,9
2036.996568789,39.750823,-105.225725,1744.9,0.94,9
2037.096568821,39.750823,-105.225725,1744.9,0.94,9
2037.196575373,39.750823,-105.225725,1744.9,0.93,9
2037.296575479,39.750823,-105.225725,1744.9,0.93,9
2037.396575549,39.750823,-105.225725,1744.9,0.93,9
2037.496575656,39.750823,-105.225725,1744.9,0.93,9
2037.596575744,39.750823,-105.225725,1744.9,0.93,9
2037.696575777,39.750823,-105.225725,1744.9,0.93,9
2037.796575883,39.750823,-105.225725,1744.9,0.91,9
2037.896575972,39.750825,-105.225725,1744.9,0.91,9
2037.99657606,39.750825,-105.225725,1744.9,0.91,9
2038.096576093,39.750825,-105.225725,1744.9,0.91,9
2038.19657646,39.750825,-105.225725,1744.9,0.91,9
