Time,Data1,Data2
0.020494,0.0,0.0
0.040976,0.0,0.0
0.061266,0.0,0.0
0.081581,0.0,0.0
0.101794,0.0,0.0
0.122298,0.0,0.0
0.142654,0.0,0.0
0.162763,0.0,0.0
0.183049,0.0,0.0
0.203198,0.0,0.0
0.223611,0.0,0.0
0.243768,0.0,0.0
0.264066,0.0,0.0
0.284292,0.0,0.0
0.305209,0.0,0.0
0.325544,0.0,0.0
0.345721,0.0,0.0
0.365901,0.0,0.0
0.386155,0.0,0.0
0.406316,0.0,0.0
0.426636,0.0,0.0
0.44686,0.0,0.0
0.467012,0.0,0.0
0.48736,0.0,0.0
0.507453,0.0,0.0
0.527864,0.0,0.0
0.548099,0.0,0.0
0.56838,0.0,0.0
0.588538,0.0,0.0
0.608778,0.0,0.0
0.629078,0.0,3.08
0.649241,0.0,0.0
0.669462,0.0,0.0
0.689613,0.0,0.0
0.709814,0.0,0.0
0.730139,0.0,0.0
0.750295,0.0,0.0
0.770472,0.0,0.0
0.790629,0.0,3.1
0.810767,0.0,0.0
0.831061,0.0,0.0
0.851218,0.0,0.0
0.871409,0.0,0.0
0.891546,0.0,3.1
0.911797,0.0,0.0
0.932101,0.0,0.0
0.952301,0.0,0.0
0.972526,0.0,3.09
0.992762,0.0,0.0
1.012936,0.0,0.0
1.03335,0.0,3.06
1.053491,0.0,0.0
1.073756,0.0,0.0
1.093915,0.0,0.0
1.114155,0.0,3.09
1.134624,0.0,0.0
1.154724,0.0,0.0
1.175012,0.0,3.08
1.195169,0.0,0.0
1.215459,0.0,0.0
1.235765,0.0,3.08
1.256025,0.0,0.0
1.276198,0.0,3.1
1.296454,0.0,0.0
1.316629,0.0,0.0
1.337019,0.0,3.07
1.357169,0.0,0.0
1.377436,0.0,3.08
1.397603,0.0,0.0
1.417848,0.0,0.0
1.438301,0.0,3.06
1.458545,0.0,0.0
1.478833,0.0,3.08
1.498998,0.0,0.0
1.519244,0.0,0.0
1.539434,0.0,3.1
1.559813,0.0,0.0
1.58001,0.0,0.0
1.600168,0.0,3.1
1.620324,0.0,0.0
1.640644,0.0,3.08
1.660791,0.0,0.0
1.68112,0.0,3.07
1.701262,0.0,0.0
1.72142,0.0,3.1
1.741883,0.0,0.0
1.761995,0.0,3.11
1.782269,0.0,0.0
1.802424,0.0,0.0
1.822672,0.0,3.09
1.84298,0.0,0.0
1.86322,0.0,3.09
1.883406,0.0,0.0
1.903665,0.0,3.09
1.92385,0.0,0.0
1.94428,0.0,3.06
1.964417,0.0,0.0
1.98469,0.0,3.08
2.004843,0.0,0.0
2.025093,0.0,3.09
2.045585,0.0,0.0
2.065685,0.0,3.11
2.085958,0.0,0.0
2.106112,0.0,3.1
2.126408,0.0,3.08
2.146715,0.0,0.0
2.166976,0.0,3.08
2.18716,0.0,0.0
2.207387,0.0,3.09
2.227571,0.0,0.0
2.247974,0.0,3.06
2.26813,0.0,0.0
2.288401,0.0,3.08
2.308556,0.0,3.1
2.328783,0.0,0.0
2.349237,0.0,3.06
2.369354,0.0,0.0
2.389626,0.0,3.08
2.409783,0.0,3.1
2.430054,0.0,0.0
2.450392,0.0,3.07
2.470645,0.0,0.0
2.490835,0.0,3.1
2.511099,0.0,0.0
2.531309,0.0,3.09
2.551792,0.0,3.05
2.571946,0.0,0.0
2.592294,0.0,3.07
2.612455,0.0,0.0
2.633918,0.0,2.91
2.654057,0.0,3.1
2.6743,0.0,0.0
2.694505,0.0,3.09
2.714777,0.0,0.0
2.735091,0.0,3.08
2.755339,0.0,3.09
2.775498,0.0,0.0
2.795754,0.0,3.09
2.816071,0.0,0.0
2.836309,0.0,3.09
2.856569,0.0,3.08
2.876717,0.0,0.0
2.896898,0.0,3.1
2.91707,0.0,0.0
2.937505,0.0,3.06
2.957668,0.0,3.1
2.977965,0.0,0.0
2.998184,0.0,3.09
3.018351,0.0,0.0
3.038695,0.0,3.07
3.058973,0.0,3.08
3.079118,0.0,0.0
3.099462,0.0,3.07
3.119765,0.0,0.0
3.140037,0.0,3.08
3.160303,0.0,0.0
3.180464,0.0,3.1
3.200747,0.0,3.08
3.220896,0.0,0.0
3.24128,0.0,3.07
3.261414,0.0,3.1
3.28165,0.0,0.0
3.301829,0.0,3.1
3.322083,0.0,3.09
3.342381,0.0,0.0
3.36263,0.0,3.09
3.382791,0.0,3.1
3.403063,0.0,0.0
3.423385,0.0,3.08
3.443644,0.0,3.09
3.463924,0.0,0.0
3.484077,0.0,3.1
3.504394,0.0,3.08
3.524556,0.0,0.0
3.545041,0.0,3.05
3.565189,0.0,3.1
3.585434,0.0,0.0
3.605637,0.0,3.09
3.62589,0.0,0.0
3.646206,0.0,3.08
3.666463,0.0,3.09
3.686608,0.0,0.0
3.706873,0.0,3.08
3.727206,0.0,3.07
3.747458,0.0,3.09
3.767727,0.0,0.0
3.787881,0.0,3.1
3.808174,0.0,3.08
3.828324,0.0,3.1
3.848732,0.0,3.06
3.86889,0.0,0.0
3.889195,0.0,3.08
3.909397,0.0,3.09
3.929699,0.0,3.08
3.950068,0.0,0.0
3.970357,0.0,3.08
3.990537,0.0,3.1
4.010732,0.0,3.09
4.030839,0.0,0.0
4.051341,0.0,3.05
4.071605,0.0,3.08
4.091748,0.0,3.1
4.112033,0.0,0.0
4.132241,0.0,3.09
4.152631,0.0,3.07
