Time,PulseCounts
1600.367464148,1
1600.596848408,2
1600.780114959,3
1600.835729627,4
1600.922481459,5
1601.097815923,6
1601.162723107,7
1601.238607662,8
1601.338893499,9
1601.473501708,10
1601.652437826,11
1601.713712301,12
1601.746057485,13
1601.802160099,14
1601.874421092,15
1601.971475534,16
1602.149716558,17
1602.23865369,18
1602.31728649,19
1602.529229127,20
1602.567046914,21
1602.672437426,22
1602.760353853,23
1602.796607488,24
1602.839394357,25
1602.977841444,26
1603.051114549,27
1603.09702909,28
1603.169345657,29
1603.247186289,30
1603.317195852,31
1603.526837763,32
1603.593795025,33
1603.643926221,34
1603.68189547,35
1603.75990988,36
1603.897840522,37
1604.014952683,38
1604.060250482,39
1604.116284355,40
1604.20458519,41
1604.351970292,42
1604.405731253,43
1604.496772593,44
1604.587577228,45
1604.666658973,46
1604.734931108,47
1604.789798997,48
