Time,PulseCounts
1607.745843232,1
1607.926278945,2
1607.976617197,3
1608.038954821,4
1608.113030429,5
1608.163129199,6
1608.216406956,7
1608.280236675,8
1608.325279122,9
1608.424411716,10
1608.507339301,11
1609.003268161,12
1609.17819118,13
1609.248935003,14
1609.538225587,15
1609.734626216,16
1609.908349196,17
1609.981052523,18
1610.166217485,19
1610.283108628,20
1610.407203875,21
1610.661910474,22
1610.73876353,23
1611.051765302,24
1611.208515161,25
1611.273119437,26
1611.433037023,27
1611.534999714,28
1611.558985903,29
1611.596145633,30
1611.631440915,31
