Time,Raw Value,Voltage
1418.604640612,0,0
1418.608520085,26416,3.302
1418.61183026,26432,3.302
1418.615159472,26432,3.304
1418.618509907,26416,3.304
1418.621805619,26432,3.304
1418.624892015,26448,3.304
1418.628096023,26432,3.306
1418.63123668,26448,3.306
1418.634362632,26432,3.304
1418.63750064,26432,3.304
1418.644396991,26448,3.304
1418.651320915,26432,3.304
1418.654990776,26448,3.306
1418.658373285,26416,3.304
1418.661786368,26448,3.306
1418.664949283,26448,3.304
1418.668088995,26432,3.304
1418.671251632,26432,3.302
1418.674530418,26432,3.304
1418.677683871,26432,3.3
1418.680818582,26432,3.304
1418.683964701,26416,3.302
1418.687130191,26416,3.3
1418.690261125,26400,3.302
1418.693384484,26416,3.302
1418.696522307,26432,3.304
1418.699661185,26416,3.302
1418.702816749,26448,3.3
1418.705937701,26416,3.302
1418.709123635,26448,3.302
1418.71236644,26432,3.302
1418.715499022,26416,3.302
1418.718658104,26432,3.304
1418.721762908,26448,3.304
1418.724871786,26400,3.302
1418.727996757,26416,3.3
1418.731153154,26416,3.302
1418.734308347,26400,3.3
1418.743389666,26416,3.3
1418.75031385,26400,3.302
1418.754018008,26432,3.306
1418.757267423,26448,3.306
1418.760409302,26432,3.306
1418.763558976,26448,3.302
1418.766708207,26448,3.304
1418.769832492,26432,3.302
1418.772970056,26416,3.3
1418.776097953,26416,3.302
1418.779250442,26400,3.302
1418.782403098,26448,3.302
1418.785519532,26400,3.3
1418.788645873,26400,3.3
1418.791785437,26416,3.302
1418.795047315,26416,3.304
1418.798159823,26432,3.304
1418.801285572,26416,3.304
1418.80444645,26416,3.302
1418.807592643,26416,3.304
1418.810740374,26416,3.302
1418.813884956,26448,3.302
1418.817005723,26416,3.306
1418.820198416,26432,3.306
1418.823355517,26432,3.304
1418.826512932,26448,3.306
1418.829624421,26448,3.306
1418.832860004,26432,3.304
1418.835975734,26448,3.306
1418.839127205,26448,3.304
1418.844460866,26448,3.306
1418.85132818,26432,3.304
1418.855033893,26432,3.306
1418.858136697,26432,3.306
1418.86126289,26448,3.306
1418.864419658,26448,3.306
1418.867541869,26448,3.304
1418.870684525,26432,3.304
1418.873820311,26448,3.302
1418.877055393,26432,3.3
1418.880177309,26400,3.302
1418.88332615,26416,3.302
1418.886466991,26400,3.302
1418.889580592,26416,3.304
1418.89271897,26432,3.304
1418.895815885,26416,3.304
1418.898933523,26432,3.304
1418.902043105,26416,3.302
1418.905147224,26432,3.3
1418.90827838,26432,3.302
1418.911538851,26432,3.3
1418.9146851,26416,3.3
1418.917841163,26448,3.306
1418.920979856,26448,3.304
1418.924112957,26448,3.306
1418.927236409,26448,3.306
1418.930349676,26432,3.308
1418.933505629,26432,3.304
1418.936645507,26448,3.304
1418.943416154,26432,3.304
1418.950314208,26432,3.304
1418.954013625,26432,3.304
1418.957255541,26432,3.302
1418.960392789,26432,3.304
1418.963533057,26432,3.304
1418.966655342,26432,3.304
1418.969792184,26432,3.304
1418.972937636,26416,3.302
1418.976072514,26416,3.304
1418.979203244,26416,3.302
1418.982310697,26432,3.302
1418.985409705,26400,3.3
1418.988521305,26400,3.302
1418.991620239,26400,3.302
1418.994832006,26416,3.306
1418.997933051,26448,3.302
1419.001044929,26416,3.302
1419.004152845,26416,3.302
1419.007249704,26432,3.302
1419.010356471,26432,3.304
1419.013493498,26416,3.302
1419.016629932,26416,3.306
1419.019775903,26432,3.304
1419.022909633,26432,3.306
1419.026060011,26448,3.306
1419.02949689,26432,3.304
1419.032634454,26448,3.304
1419.035758702,26432,3.304
1419.044427576,26448,3.304
1419.050457351,26432,3.304
1419.054335361,26432,3.306
1419.057485794,26448,3.306
1419.060616469,26432,3.306
1419.063763755,26448,3.302
1419.0668708,26432,3.306
1419.070009271,26448,3.304
1419.073143834,26432,3.302
1419.076376472,26416,3.302
1419.07950235,26400,3.3
1419.082610747,26416,3.302
1419.085730829,26416,3.3
1419.088842207,26416,3.302
1419.091940215,26400,3.302
1419.095042871,26432,3.302
1419.098156138,26432,3.304
1419.101258776,26416,3.302
1419.104372283,26416,3.304
1419.107508662,26432,3.302
1419.110640633,26416,3.302
1419.113877845,26416,3.3
1419.116999945,26432,3.304
1419.120124342,26432,3.304
1419.123219368,26432,3.304
1419.126326691,26448,3.306
1419.129437736,26448,3.304
1419.132559447,26432,3.304
1419.135666659,26448,3.304
1419.144404311,26448,3.306
1419.150421382,26432,3.304
1419.154310817,26448,3.304
1419.157425418,26448,3.304
1419.160656111,26448,3.306
1419.163772823,26448,3.304
1419.166899812,26432,3.304
1419.170025339,26448,3.304
1419.173150069,26432,3.304
1419.176272447,26416,3.306
1419.179389918,26416,3.306
1419.182508111,26416,3.304
1419.185628619,26400,3.302
1419.188766904,26432,3.302
1419.191909968,26448,3.304
1419.195153624,26416,3.304
1419.198281817,26448,3.304
1419.201398436,26400,3.304
1419.204523574,26416,3.302
1419.207639193,26432,3.302
1419.21075709,26416,3.3
1419.213904968,26432,3.3
1419.217054421,26400,3.304
1419.220217003,26448,3.306
1419.223348844,26448,3.304
1419.226468037,26432,3.306
1419.229603341,26448,3.304
1419.232848794,26448,3.306
1419.235976302,26448,3.304
1419.243345876,26448,3.304
1419.249390595,26448,3.304
1419.253341272,26448,3.304
1419.256480113,26432,3.304
1419.259618788,26432,3.306
1419.262742425,26448,3.304
1419.265875803,26448,3.304
1419.2690127,26432,3.302
1419.272141523,26400,3.306
1419.275270142,26400,3.304
1419.27849702,26400,3.302
1419.28162914,26416,3.302
1419.28478124,26432,3.3
1419.287873081,26416,3.3
1419.291011737,26400,3.302
1419.294142764,26432,3.302
1419.297284327,26448,3.302
1419.300416928,26432,3.304
