Time,Raw Value,Voltage
129.032328123,0,0
129.037560331,26416,3.302
129.042551465,26448,3.302
129.04676558,26464,3.306
129.050539213,26432,3.306
129.054329642,26432,3.304
129.057774515,26416,3.304
129.06140237,26400,3.302
129.064814021,26416,3.302
129.068293764,26400,3.302
129.07169136,26416,3.302
129.075100141,26416,3.304
129.078491625,26432,3.306
129.081911239,26432,3.302
129.085365575,26432,3.302
129.0888268,26432,3.302
129.092246414,26448,3.304
129.095663658,26432,3.302
129.099119253,26448,3.306
129.10276083,26448,3.306
129.106320167,26448,3.306
129.114231729,26448,3.306
129.120194382,26448,3.306
129.124119534,26448,3.306
129.127351055,26432,3.306
129.130584224,26448,3.306
129.133863005,26432,3.304
129.137134582,26448,3.306
129.140438455,26432,3.306
129.143694106,26448,3.308
129.146953886,26432,3.306
129.150377333,26432,3.306
129.153665614,26432,3.302
129.156928172,26416,3.304
129.160186675,26416,3.304
129.163467048,26432,3.302
129.166633106,26432,3.304
129.169895276,26416,3.3
129.173177964,26432,3.302
129.176441559,26416,3.304
129.17966671,26432,3.306
129.182838657,26432,3.304
129.186155123,26432,3.304
129.189377459,26416,3.306
129.192610739,26432,3.304
129.195809075,26416,3.304
129.199027967,26416,3.306
129.202293414,26448,3.306
129.205474139,26448,3.304
129.214107405,26448,3.306
129.220222503,26432,3.306
129.224068636,26448,3.306
129.227312509,26448,3.308
129.230506253,26448,3.308
129.233853144,26448,3.306
129.237071388,26464,3.306
129.240333835,26448,3.306
129.243561745,26448,3.306
129.246763618,26432,3.306
129.250000676,26448,3.306
129.253242272,26448,3.304
129.256440811,26432,3.302
129.259676703,26448,3.302
129.26285302,26432,3.304
129.266078375,26416,3.302
129.269269322,26432,3.302
129.272637955,26416,3.306
129.275833883,26432,3.306
129.279064904,26432,3.304
129.282336074,26416,3.304
129.285551428,26432,3.3
129.288798672,26416,3.306
129.292062786,26448,3.304
129.295339992,26432,3.302
129.298613421,26432,3.308
129.301849794,26448,3.306
129.3050775,26448,3.304
129.314143193,26448,3.306
129.320307124,26448,3.306
129.324172257,26448,3.306
129.327397982,26464,3.306
129.330583151,26448,3.306
129.333818173,26448,3.304
129.337071823,26448,3.306
129.340304585,26448,3.306
129.343539162,26448,3.308
129.34673398,26432,3.304
129.349963371,26432,3.308
129.353168726,26432,3.304
129.356517525,26448,3.306
129.359697287,26448,3.302
129.362924956,26432,3.306
129.366118052,26432,3.302
129.369326184,26416,3.302
129.372568909,26416,3.304
129.375799115,26432,3.304
129.378981599,26432,3.306
129.38222075,26432,3.304
129.385400012,26416,3.302
129.388621367,26432,3.304
129.391872795,26432,3.304
129.395197743,26432,3.302
129.39843219,26432,3.306
129.401690507,26448,3.306
129.404960825,26432,3.304
129.414187073,26448,3.306
129.420207486,26448,3.306
129.424112915,26448,3.306
129.427353936,26464,3.306
129.430624587,26448,3.304
129.433870738,26432,3.308
129.437158833,26432,3.306
129.440408744,26448,3.306
129.443754265,26448,3.306
129.446970749,26448,3.306
129.450180863,26432,3.304
129.453365199,26448,3.302
129.456587516,26448,3.304
129.459826834,26432,3.302
129.463039411,26432,3.302
129.466282062,26416,3.3
129.469469138,26416,3.302
129.472730511,26416,3.304
129.475970533,26432,3.304
129.47921898,26416,3.304
129.482454001,26448,3.302
129.485714948,26448,3.302
129.488930803,26432,3.304
129.49215262,26448,3.304
129.495427716,26432,3.304
129.498626681,26416,3.306
129.501891703,26448,3.306
129.505096057,26448,3.306
129.514192713,26448,3.306
129.521122108,26448,3.306
129.524975629,26432,3.306
129.528362595,26432,3.306
129.531649894,26464,3.308
129.534831601,26448,3.306
129.538063751,26432,3.306
129.541293847,26448,3.304
129.544556553,26448,3.306
129.547766223,26464,3.306
129.550969892,26448,3.306
129.554171839,26448,3.306
129.557406731,26400,3.304
129.560632993,26416,3.302
129.563825588,26416,3.304
129.567200387,26432,3.302
129.570456038,26432,3.3
129.573659392,26432,3.304
129.576909321,26432,3.304
129.58013725,26432,3.304
129.58341503,26432,3.304
129.586630885,26448,3.304
129.589875295,26416,3.302
129.593085464,26432,3.304
129.596306967,26448,3.302
129.599536766,26432,3.306
129.602823917,26432,3.304
129.60616229,26448,3.304
129.614134945,26432,3.306
129.620219394,26448,3.306
129.624138953,26432,3.306
129.627370512,26448,3.306
129.630605218,26432,3.306
129.633832202,26448,3.306
129.637125872,26432,3.306
