Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
33.626824923,-0.0454,0.0381,0.9614,2.252,1.544,8.509,0.1221,-0.1831,0.1831,-10675,5152,-213
33.72682496,-0.0283,0.0459,1.0029,2.252,1.544,8.531,0.1221,-0.2441,0.2441,-10663,5173,-176
33.826825015,-0.0483,0.0371,1.0215,2.252,1.538,8.553,0.0,-0.3662,0.1831,-10645,5189,-163
33.926825052,-0.0449,0.0391,1.0591,2.258,1.544,8.575,0.061,-0.3662,0.1221,-10638,5191,-155
34.026825163,-0.0386,0.042,1.0615,2.252,1.544,8.591,-0.061,-0.4272,0.1221,-10653,5188,-150
34.126825182,-0.0444,0.043,1.0786,2.252,1.549,8.613,0.0,-0.5493,0.1831,-10659,5178,-161
34.226825274,-0.0376,0.0391,1.0703,2.252,1.544,8.635,-0.1831,-0.6104,0.1831,-10637,5175,-185
34.326825367,-0.0337,0.0557,1.083,2.247,1.538,8.657,-0.2441,-0.9155,0.2441,-10632,5171,-170
34.426825404,-0.0532,0.0352,1.0674,2.247,1.538,8.674,-0.4883,-1.2207,0.3052,-10631,5174,-175
34.526825478,-0.0366,0.0522,1.0444,2.247,1.538,8.696,-0.5493,-0.9155,0.3662,-10629,5181,-162
34.626825552,-0.0312,0.0532,1.0024,2.247,1.544,8.718,-0.4883,-0.9155,0.2441,-10648,5182,-175
34.726825663,-0.0474,0.0288,0.9443,2.258,1.549,8.734,-0.1221,-0.3662,0.3052,-10631,5176,-165
34.826825792,-0.042,0.0371,1.0039,2.241,1.549,8.762,0.0,-0.5493,0.2441,-10620,5179,-141
34.926825792,-0.0347,0.0337,1.0425,2.258,1.538,8.784,0.1221,-0.3662,0.061,-10619,5197,-159
35.026825866,-0.0386,0.0557,1.0864,2.247,1.555,8.806,-0.3662,-0.4272,0.2441,-10626,5195,-174
35.126825922,-0.0542,0.0239,1.0537,2.247,1.566,8.828,-0.1831,-1.0376,0.2441,-10639,5171,-203
35.226825996,-0.0303,0.0659,1.04,2.23,1.566,8.844,-0.6104,-1.0376,0.2441,-10654,5184,-190
35.326826014,-0.0518,0.0229,1.04,2.241,1.571,8.866,-0.4272,-1.1597,0.3662,-10658,5158,-183
35.426826033,-0.0371,0.0571,1.0283,2.241,1.549,8.877,-0.5493,-1.2817,0.0,-10675,5162,-179
35.526826033,-0.0415,0.0308,1.0376,2.252,1.533,8.888,-0.3662,-1.0376,0.3662,-10673,5153,-198
35.626826088,-0.0469,0.0522,1.0078,2.247,1.555,8.926,-0.6104,-0.7935,0.4272,-10658,5148,-182
35.726826107,-0.0464,0.0537,0.9707,2.247,1.544,8.937,-0.1831,-0.9155,0.1221,-10645,5157,-196
35.826826125,-0.0459,0.0488,0.9404,2.247,1.538,8.954,-0.061,-0.3052,0.3662,-10653,5165,-198
35.926826162,-0.0356,0.0352,0.9971,2.247,1.555,8.987,0.0,-0.3662,0.3052,-10645,5178,-205
36.026826236,-0.0493,0.0107,1.0449,2.236,1.516,9.003,-0.1221,-0.6104,0.1221,-10651,5163,-218
36.126826273,0.0005,0.0664,1.1016,2.203,1.588,9.069,-0.6104,-0.8545,1.1597,-10636,5190,-195
36.226826292,-0.061,0.0225,1.0308,2.252,1.555,9.036,-0.4272,-2.6245,-0.8545,-10654,5177,-192
36.326826292,-0.0332,0.0635,1.0303,2.225,1.494,9.003,-0.7935,-0.9155,1.2817,-10670,5156,-185
36.426826384,-0.0308,0.0195,0.9893,2.247,1.571,9.146,-0.2441,-0.6104,1.0376,-10671,5137,-181
36.526826384,-0.0498,0.042,0.9873,2.23,1.516,9.13,-0.6104,-1.4038,-0.6714,-10675,5143,-204
36.626826421,-0.0591,0.0469,0.9546,2.236,1.494,9.113,0.1221,0.1831,0.6104,-10671,5132,-217
36.726826532,-0.0605,0.0498,0.9556,2.23,1.544,9.163,-0.1831,-0.6104,0.061,-10632,5169,-201
36.826826643,-0.0415,0.0444,0.9697,2.23,1.5,9.163,0.3052,-0.4883,0.2441,-10604,5172,-216
36.92682668,-0.0415,0.0371,1.0269,2.23,1.516,9.218,0.0,0.0,0.3052,-10599,5181,-206
37.02682668,-0.0342,0.0479,1.0747,2.23,1.511,9.223,0.0,-1.0986,-0.2441,-10588,5200,-219
37.126826736,-0.0488,0.0352,1.0342,2.23,1.505,9.223,-0.4272,-0.9766,0.6104,-10599,5202,-218
37.226826828,-0.0322,0.0449,1.0566,2.214,1.494,9.256,-0.3052,-1.0376,0.0,-10621,5202,-251
37.326826865,-0.0254,0.0454,1.0747,2.225,1.472,9.272,0.1221,-0.7935,0.6714,-10646,5222,-249
37.426826976,-0.0225,0.042,1.0488,2.236,1.511,9.338,-0.3662,-0.3052,0.2441,-10634,5232,-272
37.526827032,-0.0381,0.042,1.0444,2.23,1.483,9.3,-0.3662,-0.6714,-0.3662,-10610,5262,-273
37.626827069,-0.0508,0.0371,1.0063,2.23,1.505,9.322,-0.1221,-0.5493,0.7324,-10590,5279,-255
37.726827124,-0.0474,0.0435,0.9458,2.236,1.516,9.36,-0.1831,-0.9766,0.3052,-10568,5299,-257
37.826827143,-0.0391,0.0239,0.9795,2.241,1.494,9.377,0.1221,-0.4272,0.3052,-10572,5306,-245
37.926827217,-0.0146,0.0562,1.0625,2.203,1.489,9.41,0.0,-0.061,0.0,-10554,5336,-216
38.026827272,-0.0332,0.0303,1.0454,2.269,1.489,9.421,0.1831,-0.1831,0.0,-10571,5301,-208
38.126827346,-0.0601,0.0488,1.0698,2.214,1.5,9.421,-0.6714,-0.7324,0.1221,-10587,5284,-207
38.226827457,-0.0469,0.0435,0.9761,2.252,1.5,9.448,0.0,-0.7935,0.6104,-10625,5232,-204
38.32682755,-0.0508,0.0605,0.9736,2.225,1.494,9.492,-0.3052,-0.4272,0.3052,-10657,5196,-176
38.426827642,-0.0474,0.0269,0.9653,2.247,1.483,9.503,0.4883,-0.2441,0.0,-10655,5176,-151
38.526827661,-0.042,0.0459,1.0537,2.23,1.494,9.514,-0.2441,-0.5493,0.1221,-10637,5162,-186
