Time,Frequency
34.167524719,0.1151644957787614
34.61250433,0.1404558736063075
35.0904572,0.1307660313871525
35.485061737,0.15838642017438362
36.018894255,0.11707791843433628
36.257310347,0.2621467346256126
36.503333662,0.2540409635566428
36.685553365,0.34299254675001867
36.891678625,0.30321368666799936
37.042979939,0.41308299543254123
37.214183958,0.3650615234680888
37.346736698,0.47151043426185985
37.497125143,0.41559043981072574
37.612331309,0.5425056849821731
37.734469291,0.5117163307970596
37.831739198,0.6425419940002774
37.933710494,0.6129175802570824
38.040859568,0.5832994879638506
38.130269883,0.6990244917491177
38.198948031,0.9100420121986504
38.258327364,1.0525547668242978
38.340395846,0.7615591086478535
38.412961587,0.8612879733427034
38.470105253,1.0937345181878615
38.537005772,0.9342229467606871
38.58883142,1.2059665901331869
38.651018494,1.005032010349923
38.700251827,1.2694651406191688
38.759261605,1.0591465028050722
38.806096698,1.3344694329955091
38.862345309,1.111138548825659
38.907089512,1.396828992573615
38.961721827,1.1440115616554214
39.006161179,1.4064111465890237
39.060246605,1.155579323716515
39.10436566,1.416621457554016
39.156229827,1.205070930764249
39.199941012,1.4298399826040153
39.25193666,1.202023677058467
39.292754568,1.5311906724861637
39.343641068,1.2282235956492091
39.38496829,1.512320378078881
39.432269734,1.3213127277890686
39.471248882,1.6034213985386985
39.518893753,1.3117886288326044
39.555718993,1.6972055036165934
39.601975049,1.3511744278412807
39.640303604,1.6306380451859082
39.68582103,1.3731004912273579
39.72260166,1.6992639875933475
39.767907197,1.3795223307915707
39.806041327,1.6389517736472532
39.851605438,1.371693612106327
39.889852697,1.6341040282127584
39.937770549,1.3043155607226105
39.976565938,1.6110161957648905
40.023832752,1.3222807866848032
40.060016678,1.727286309396073
40.105787234,1.365506680757798
40.14384866,1.642082459022697
40.18775453,1.4234998645968184
40.2250124,1.677497935335645
40.271632197,1.3406321782137511
40.308488678,1.6957668856122863
40.354847548,1.3481778136525238
40.393521215,1.616086728988069
40.441868067,1.2927418728317173
40.481754697,1.5669411028207467
40.530919993,1.2712218797584844
40.570916808,1.5626244239696776
40.615005326,1.4176026511028714
40.652264882,1.6774220283249817
40.699347974,1.3274404323318116
40.736499493,1.6822999888645993
40.782477326,1.3593507114612655
40.821008344,1.6220697828435064
40.867841918,1.3345127151729705
