Time,RawValue1,RawValue2
3.000484,16464,16000
3.002556,16464,16000
3.004224,16496,16000
3.005894,16480,15984
3.007563,16480,16016
3.009232,16496,16000
3.0109,16480,15984
3.012568,16480,16032
3.014238,16464,16000
3.015905,16528,16000
3.017648,16480,16016
3.019317,16480,16032
3.020985,16496,16016
3.022653,16464,15984
3.024321,16496,16000
3.025988,16512,16000
3.027658,16480,16000
3.029326,16464,16000
3.030994,16480,16000
3.032661,16480,16016
3.034392,16480,16016
3.036059,16496,16016
3.037728,16480,16000
3.039395,16496,16000
3.041065,16480,16016
3.042733,16464,16016
3.044402,16496,16000
3.046071,16496,15984
3.047741,16480,16000
3.04941,16480,16000
3.051167,16496,16000
3.052837,16480,16000
3.054504,16480,16000
3.056174,16512,16016
3.057843,16464,16016
3.059511,16480,16016
3.06118,16464,15968
3.062848,16480,16016
3.064517,16464,16016
3.066185,16464,16016
3.067911,16496,16016
3.069578,16480,15984
3.071248,16512,16016
3.072917,16480,16000
3.074585,16496,16000
3.076253,16496,16032
3.077923,16496,16000
3.079592,16496,16016
3.081262,16496,16016
3.082929,16480,16000
3.084662,16464,16000
3.08633,16480,15984
3.088,16496,16000
3.089668,16464,16000
3.091335,16480,16000
3.093005,16480,16000
3.094675,16448,16000
3.096345,16480,16000
3.098011,16464,16016
3.099682,16512,16032
3.101434,16464,16016
3.103101,16464,16000
3.104771,16480,15984
3.10644,16512,15984
3.108109,16480,15984
3.109778,16464,16016
3.111446,16496,16016
3.113113,16480,15952
3.114783,16464,16000
3.11645,16496,16016
3.118181,16496,16000
3.11985,16496,16016
3.121518,16480,16016
3.123185,16496,16016
3.124854,16432,16000
3.126523,16464,16000
3.12819,16448,16032
3.129858,16480,16000
3.131527,16480,16000
3.133195,16496,16016
3.134919,16496,15984
3.136588,16496,16032
3.138257,16480,16016
3.139924,16448,16016
3.141592,16480,16000
3.143262,16496,16016
3.14493,16496,16016
3.1466,16464,16000
3.148267,16496,16000
3.149934,16496,16016
3.151686,16480,16016
3.153355,16496,16000
3.155022,16448,16016
3.15669,16464,16016
3.158358,16496,16032
3.160028,16512,16032
3.161698,16480,16032
3.163366,16496,16000
3.165033,16496,16000
3.166701,16416,16000
3.168424,16480,15984
3.170095,16464,16016
3.171764,16464,16016
3.173432,16448,16016
3.175102,16496,16000
3.176772,16496,16000
3.178439,16464,16000
3.180107,16464,16000
3.181776,16480,15952
3.183445,16480,15984
3.185172,16464,16000
3.186841,16512,16016
3.188508,16512,16016
3.190178,16496,16000
3.192095,16496,16016
3.193763,16464,16000
3.195432,16496,15984
3.1971,16480,16016
3.198769,16480,15984
3.200438,16480,16016
3.202187,16480,16000
3.203856,16496,16016
3.205524,16464,16016
3.207193,16496,16000
3.208862,16480,16000
3.21053,16480,15984
3.21222,16496,16000
3.213887,16480,15984
3.215556,16480,16000
3.217226,16496,16016
3.218955,16480,16000
3.220622,16464,16016
3.22229,16464,16016
3.223958,16480,15984
3.225625,16464,16016
3.227292,16480,16000
3.22896,16512,16016
3.230628,16496,16000
3.232296,16480,15984
3.233965,16480,16032
3.235687,16496,16016
3.237356,16464,16016
3.239026,16480,16000
3.240695,16496,16000
3.242362,16480,16000
3.244029,16496,16016
3.245697,16480,16032
3.247365,16464,15984
3.249033,16512,16016
3.250703,16480,16000
3.252473,16480,16000
3.254141,16496,16016
3.255808,16480,15984
3.257477,16496,16000
3.259143,16464,16000
3.260811,16496,16016
3.262489,16496,16032
3.264157,16480,16016
3.265825,16464,15984
3.267494,16496,16016
3.269213,16448,16016
3.270881,16480,15984
3.272549,16496,16000
3.274219,16496,16000
3.275889,16480,16000
3.277558,16496,16000
3.279228,16496,16016
3.280896,16464,16016
3.282562,16496,16000
3.28423,16480,16000
3.285957,16512,16000
3.287625,16480,16016
3.289294,16496,16032
3.290962,16480,16016
3.292631,16512,16016
3.294298,16480,16032
3.295965,16480,16016
3.297632,16512,16016
3.299299,16480,16000
3.300968,16480,16032
3.302735,16480,15984
3.304403,16496,15984
3.306071,16496,16016
3.307741,16496,15984
3.30941,16448,16016
3.311078,16480,16016
3.312748,16496,16016
3.314415,16496,16000
3.316083,16480,16016
3.317753,16480,16000
3.319475,16496,15984
3.321143,16480,16016
3.32281,16480,16016
3.324478,16496,16016
3.326146,16480,16016
3.327816,16480,16016
3.329484,16480,15984
3.331153,16464,15984
3.332823,16496,16016
3.334492,16512,16000
3.336218,16480,15984
3.337888,16480,16016
3.339557,16480,16000
3.341225,16448,16016
3.342893,16480,15984
3.344562,16480,16016
3.346232,16480,16000
3.347903,16496,16016
3.349572,16480,16000
3.351241,16464,16000
3.353022,16496,16016
3.354691,16496,16000
3.356358,16480,15984
3.358027,16464,16000
3.359695,16496,16000
3.361364,16480,16000
3.363031,16480,16000
3.3647,16464,16016
3.366369,16480,16032
3.368038,16528,16016
3.369755,16464,15968
3.371424,16496,16000
3.373094,16496,16000
3.374763,16416,16016
3.376431,16496,16000
3.3781,16480,16000
3.379767,16480,16000
3.381437,16464,16016
3.383105,16496,16016
3.384773,16480,15984
3.386487,16464,16000
3.388155,16464,16000
3.389824,16480,15984
3.391493,16480,16000
3.393163,16496,16016
3.394832,16432,16000
3.3965,16496,15984
3.398168,16480,16016
3.399835,16496,16000
