Time,PulseCounts
2905.347704068,1
2905.676949061,2
2905.7487078,3
2905.919529173,4
2906.101150245,5
2906.17618418,6
2906.279376126,7
2906.384837266,8
2906.460559841,9
2906.553048917,10
2906.685337747,11
2906.810893952,12
2906.957986557,13
2907.075692844,14
2907.216640118,15
2907.468067958,16
2907.564271619,17
2907.659238641,18
2907.774106863,19
2907.907153349,20
2908.019200081,21
2908.11452709,22
2908.192464583,23
2908.281669166,24
2908.367907782,25
2908.507247241,26
2908.583053348,27
2908.66552862,28
2908.761601378,29
2908.842324325,30
2908.936552335,31
2909.04360747,32
2909.163735981,33
2909.268735802,34
2909.48374863,35
2909.562279322,36
2909.637281607,37
