Time,PulseCounts
2896.775490556,1
2896.851014592,2
2897.113440806,3
2897.197289873,4
2897.266667966,5
2897.336458839,6
2897.466328234,7
2897.589194753,8
2897.714428206,9
2898.127922227,10
2898.229876025,11
2898.334963578,12
2898.443112408,13
2898.55137105,14
2898.65311465,15
2898.723421263,16
2898.800228176,17
2898.878072238,18
2898.940456453,19
2899.173865381,20
2899.37856211,21
2899.51386486,22
2899.619140627,23
2899.697112183,24
2899.769030847,25
2899.86489079,26
2899.967500987,27
2900.071120796,28
2900.17491995,29
2900.264893995,30
2900.355597253,31
2900.442682791,32
2900.583927268,33
2900.694348273,34
2900.863335241,35
2900.990482601,36
2901.137668343,37
2901.388454818,38
2901.503001856,39
2901.693540465,40
2901.883684291,41
2901.965229863,42
2902.070574662,43
2902.150388612,44
2902.233081308,45
2902.330586336,46
2902.42621108,47
2902.511272837,48
2902.567557012,49
2902.648810075,50
2902.72789518,51
2902.794920298,52
2902.874399647,53
2902.989137288,54
2903.128306634,55
2903.224775773,56
2903.289185337,57
2903.371288831,58
2903.435082584,59
