Time,Raw Value
2680.105058003,4240
2680.107450752,4256
2680.10908874,4240
2680.110646098,4240
2680.112224529,4240
2680.113764091,4240
2680.115287893,4240
2680.116814973,4240
2680.118344923,4272
2680.119872336,4256
2680.121434083,4240
2680.122970144,4240
2680.124502779,4224
2680.126025266,4240
2680.127542624,4240
2680.129077722,4256
2680.130597432,4240
2680.132112937,4224
2680.133628591,4256
2680.135140671,4256
2680.136629121,4256
2680.138144682,4256
2680.139655225,4256
2680.141181583,4240
2680.142702866,4224
2680.144224298,4224
2680.145745396,4224
2680.147269939,4256
2680.14879463,4240
2680.150316561,4240
2680.151838826,4240
2680.153363999,4256
2680.154892004,4240
2680.156421214,4240
2680.157945053,4256
2680.159468503,4240
2680.160997064,4240
2680.1625222,4256
2680.164043872,4240
2680.165565748,4240
2680.167087217,4224
2680.168615111,4224
2680.170142376,4240
2680.171785679,4256
2680.173312407,4240
2680.174869561,4240
2680.176401122,4224
2680.177945665,4240
2680.179482486,4240
2680.181017417,4240
2680.182546071,4240
2680.18407391,4240
2680.185614472,4256
2680.187171459,4240
2680.188715835,4240
2680.190242896,4240
2680.191774476,4240
2680.193317,4240
2680.194842784,4240
2680.196366697,4224
2680.197891036,4256
2680.199460561,4256
2680.200984159,4256
2680.202508035,4240
2680.204039281,4240
2680.205565843,4272
2680.208616373,4240
2680.210157119,4240
2680.211683514,4240
2680.213211945,4224
2680.214742081,4240
2680.216270827,4240
2680.217786611,4256
2680.21930482,4240
2680.220826937,4240
2680.222353072,4240
2680.22401569,4272
2680.22557201,4240
2680.227101498,4240
2680.228637189,4256
2680.230162805,4240
2680.231691478,4256
2680.233224724,4240
2680.234783638,4224
2680.23632718,4240
2680.237852631,4256
2680.239380933,4240
2680.240913216,4240
2680.242548796,4240
2680.244084135,4256
2680.245605567,4256
2680.247128888,4240
2680.248650801,4240
2680.250173918,4256
2680.251696979,4256
2680.253225059,4240
2680.254748138,4240
2680.256269496,4224
2680.257790539,4240
2680.259313581,4240
2680.260837106,4240
2680.262359297,4256
2680.263880913,4240
2680.265403715,4240
2680.266923777,4240
2680.268444838,4240
2680.269966658,4256
2680.271487294,4240
2680.273009059,4256
2680.274558268,4240
2680.276091348,4224
2680.277741873,4240
2680.279269416,4240
2680.28079707,4240
2680.282321334,4240
2680.283860192,4240
2680.28538579,4256
2680.286919833,4240
2680.288463395,4240
2680.290013419,4272
2680.291541443,4240
2680.293067838,4240
2680.294589714,4224
2680.296111201,4240
2680.297655096,4240
2680.299086675,4240
2680.300627885,4240
2680.302164927,4240
2680.303701785,4256
2680.305241291,4240
2680.306764,4240
2680.308286525,4256
2680.309810401,4256
2680.31133274,4240
2680.312811912,4240
2680.314336992,4256
2680.315857534,4240
2680.317383522,4240
2680.318902305,4240
2680.320422329,4240
2680.321941594,4240
2680.323465378,4240
2680.324987272,4240
2680.326507741,4240
2680.328028691,4240
2680.329599605,4240
2680.331129981,4272
2680.332656542,4256
2680.334182011,4256
2680.335705498,4240
2680.337233744,4240
2680.33875625,4240
2680.340278608,4240
2680.34180091,4240
2680.343322749,4240
2680.34484494,4240
2680.346368538,4240
2680.347852136,4224
2680.349382049,4256
2680.350902407,4256
2680.352422672,4240
2680.353944288,4256
2680.355464831,4240
2680.35698593,4256
2680.358507176,4240
2680.360027497,4240
2680.361548669,4224
2680.363069249,4240
2680.364590495,4240
2680.366110353,4240
2680.367630044,4240
2680.36915092,4256
2680.370670573,4240
2680.372193116,4256
2680.373741418,4256
2680.375283276,4240
2680.37681306,4240
2680.378344973,4240
2680.379872775,4240
2680.381391984,4240
2680.383041453,4240
2680.384574885,4272
2680.386104946,4240
2680.387627211,4256
2680.38916655,4224
2680.390695704,4240
2680.392219117,4240
2680.393739605,4240
2680.395259295,4240
2680.396783005,4224
2680.398303511,4224
2680.399868016,4256
2680.401395022,4256
2680.402914083,4240
2680.404436274,4256
2680.405956039,4224
2680.40747586,4240
2680.408997551,4224
2680.410518186,4224
2680.412037729,4256
2680.413560716,4224
2680.415117388,4240
2680.416659357,4256
2680.418143437,4224
2680.419668239,4240
2680.421193374,4256
2680.422716898,4240
2680.424239534,4240
2680.425761817,4240
2680.427283434,4240
2680.428841421,4288
2680.430378149,4224
2680.431905729,4240
2680.433449846,4240
2680.434982556,4256
2680.436504209,4256
2680.438026956,4240
2680.439549388,4240
2680.441080004,4240
2680.442601677,4240
2680.444124034,4256
2680.44564954,4240
2680.447172638,4256
2680.448694848,4240
2680.450215983,4224
2680.451738081,4240
2680.453217217,4256
2680.454739926,4240
2680.456261747,4240
2680.457783012,4256
2680.459303999,4240
2680.460825801,4240
2680.462347714,4256
2680.46387046,4240
2680.465394614,4240
2680.466915768,4240
2680.468437422,4240
2680.469958817,4256
2680.47148023,4256
2680.47300205,4224
2680.474557889,4240
2680.476091728,4240
2680.477625438,4240
2680.47916987,4240
2680.480711135,4240
2680.482236363,4256
2680.483776424,4256
2680.485315874,4256
2680.486968788,4240
2680.488527201,4240
2680.490059299,4240
2680.491599694,4240
2680.493123255,4240
2680.49464465,4224
2680.49617147,4256
2680.497695791,4240
2680.499112037,4240
2680.500637821,4240
2680.502160474,4256
2680.50368061,4240
2680.50519756,4240
2680.506708417,4240
2680.508223127,4256
2680.509747577,4240
2680.511268268,4240
2680.512790514,4240
2680.514311668,4240
2680.515832637,4240
2680.517353809,4240
2680.518879574,4256
2680.520403228,4272
2680.522031216,4256
2680.523559092,4240
2680.52508356,4256
2680.526605825,4256
2680.528170924,4256
2680.529706485,4256
2680.531229676,4256
2680.532764367,4240
2680.534291632,4256
2680.535818304,4256
2680.537344347,4240
2680.538865705,4240
2680.540384414,4240
2680.541905383,4224
2680.543425481,4240
2680.544945709,4240
2680.546463937,4240
2680.547985258,4224
2680.549513893,4256
2680.551034843,4240
2680.552557108,4240
2680.554078558,4240
2680.555600564,4224
2680.557078236,4240
2680.558604038,4224
2680.560126618,4240
2680.561648735,4240
2680.563169,4256
2680.564690579,4240
2680.566211826,4240
2680.567733591,4256
2680.569255726,4240
2680.570776954,4240
2680.572301386,4256
2680.573834743,4240
2680.575361045,4240
2680.576888218,4272
2680.578427557,4240
2680.579949989,4256
2680.581487902,4240
2680.583028648,4240
2680.58456721,4240
2680.586096864,4240
2680.587636795,4240
2680.589183282,4240
2680.590712455,4240
2680.592196664,4256
2680.5937193,4240
2680.59523825,4240
2680.596763663,4240
2680.598285057,4240
2680.599808489,4240
2680.601329087,4240
2680.602849445,4240
2680.604367617,4256
2680.60587779,4256
2680.607387462,4240
2680.608908671,4240
2680.610429233,4224
2680.611944201,4224
2680.613469207,4256
2680.614990657,4240
2680.616512533,4256
2680.618033669,4224
2680.619554285,4272
2680.62108131,4240
2680.622611575,4240
2680.624133191,4256
2680.625654697,4240
2680.627314407,4240
2680.628860617,4240
2680.630392548,4240
2680.631914813,4240
2680.633456393,4256
2680.634985751,4240
2680.636506775,4240
2680.638028966,4240
2680.639550101,4240
2680.64107607,4240
2680.642600483,4240
2680.644121748,4224
2680.645647902,4240
2680.647171759,4256
2680.648698228,4240
2680.6502239,4240
2680.651745906,4256
2680.653273227,4256
2680.654796121,4240
2680.656323368,4224
2680.657845392,4240
2680.65936662,4224
2680.660892237,4240
2680.662373168,4240
2680.663896822,4256
2680.665417902,4240
2680.666942334,4224
2680.668465913,4240
2680.669978623,4224
2680.67148911,4240
2680.673009523,4256
2680.674550344,4256
2680.676080998,4240
2680.6776393,4240
2680.67918312,4240
2680.68072533,4240
2680.682253058,4240
2680.683803508,4224
2680.685334662,4240
2680.686877501,4240
2680.688404247,4224
2680.689946901,4224
2680.691477092,4224
2680.692999005,4224
2680.69452003,4256
2680.696039276,4240
2680.697524485,4256
2680.699076288,4240
2680.700599015,4256
2680.702120558,4240
2680.703642582,4240
2680.705166107,4256
2680.706688705,4240
2680.70821234,4240
2680.709736328,4224
2680.711258296,4240
2680.712780839,4256
2680.714301474,4240
2680.715821962,4240
2680.717350782,4240
2680.718874047,4240
2680.720396923,4240
2680.72191941,4240
2680.723445083,4224
2680.724967125,4224
2680.726488094,4240
2680.728008729,4224
2680.729532957,4240
2680.731161593,4256
2680.732697099,4240
2680.734218771,4240
2680.735746518,4240
2680.737268301,4240
2680.7388094,4240
2680.740342313,4240
2680.741865318,4240
2680.743386546,4240
2680.744931311,4240
2680.746461706,4240
2680.747984082,4240
2680.749512403,4256
2680.751034001,4256
2680.75255597,4256
2680.754077438,4256
2680.755597185,4240
2680.757119339,4240
2680.7586399,4240
2680.760166313,4240
2680.761688393,4240
2680.763208991,4224
2680.76473083,4256
2680.76620778,4240
2680.767731471,4240
2680.769253384,4240
2680.770773797,4240
2680.772295951,4256
2680.77382279,4240
2680.775349074,4240
2680.776882913,4240
2680.778408511,4240
2680.779949795,4240
2680.781486967,4240
2680.78302438,4256
2680.784561645,4256
2680.786088484,4272
2680.787626138,4272
2680.789152292,4240
2680.790676576,4256
2680.792198748,4240
2680.793717661,4256
2680.79523676,4256
2680.796766747,4256
2680.798291808,4256
2680.799816517,4240
2680.801299671,4240
2680.802823695,4240
2680.804345312,4256
2680.805867781,4256
2680.807389138,4240
2680.808914441,4224
2680.810435631,4240
2680.811956822,4240
2680.813477791,4256
2680.814997463,4224
2680.816518414,4256
2680.818038678,4240
2680.819558555,4256
2680.821084708,4256
2680.822607362,4240
2680.824129979,4240
2680.825648744,4240
2680.827168139,4240
2680.828688737,4240
2680.830208132,4224
2680.831726952,4240
2680.833249347,4240
2680.834768445,4240
2680.836401377,4256
2680.837923235,4240
2680.839476092,4240
2680.84100932,4224
2680.842531196,4240
2680.844054221,4224
2680.845574411,4256
2680.847095269,4240
2680.848621812,4256
2680.850144614,4240
2680.851665101,4256
2680.853185829,4256
2680.854706261,4240
2680.856227674,4240
