Time,Raw Value
2390.820199095,3904
2390.823211106,3920
2390.825033268,3904
2390.826852727,3920
2390.82868287,3920
2390.830505588,3904
2390.832331602,3920
2390.834154561,3904
2390.83597626,3904
2390.837796941,3920
2390.839620418,3920
2390.841444006,3904
2390.843273372,3904
2390.845103089,3904
2390.84692527,3920
2390.848743895,3904
2390.850563854,3920
2390.852390164,3904
2390.854210845,3904
2390.856035304,3904
2390.857856855,3920
2390.859680128,3920
2390.861501531,3936
2390.863321545,3936
2390.865143115,3920
2390.866965648,3920
2390.868784958,3920
2390.870605583,3920
2390.872425708,3904
2390.874249111,3920
2390.876068496,3920
2390.877887862,3904
2390.879709283,3920
2390.881533946,3920
2390.8833542,3920
2390.8851724,3904
2390.886991044,3904
2390.888817409,3904
2390.890638312,3920
2390.892457604,3904
2390.894281322,3904
2390.896104873,3920
2390.897930739,3904
2390.899750068,3904
2390.902847042,3920
2390.904666501,3936
2390.906487996,3920
2390.908313733,3904
2390.910134247,3904
2390.91195365,3888
2390.913773553,3904
2390.91559216,3888
2390.917411544,3888
2390.919234132,3904
2390.921053369,3920
2390.922873327,3920
2390.924693045,3936
2390.926512855,3920
2390.928331462,3888
2390.930149717,3920
2390.931968805,3904
2390.933789708,3920
2390.935610685,3904
2390.937430607,3920
2390.939249195,3920
2390.941075413,3920
2390.942900464,3920
2390.944726885,3920
2390.946552048,3904
2390.948372932,3904
2390.950198298,3920
2390.952025016,3904
2390.953845419,3920
2390.955665618,3920
2390.957486743,3920
2390.959306832,3920
2390.961127716,3904
2390.962952026,3904
2390.964774022,3920
2390.966595036,3920
2390.968415272,3904
2390.970235638,3904
2390.972058782,3920
2390.973880167,3888
2390.975700662,3920
2390.977526491,3920
2390.979346653,3920
2390.981166464,3904
2390.982987367,3920
2390.984807474,3920
2390.98662658,3920
2390.988450539,3920
2390.990271349,3888
2390.992095863,3920
2390.9939161,3888
2390.995742577,3920
2390.997564295,3904
2390.999390994,3920
2391.001214286,3904
2391.00303417,3936
2391.004856721,3936
2391.00668205,3904
2391.008501009,3904
2391.010319449,3904
2391.012141056,3920
2391.013966107,3904
2391.015791917,3920
2391.017610616,3904
2391.019433908,3888
2391.021259404,3920
2391.023086103,3904
2391.024905395,3920
2391.026731965,3920
2391.028553534,3920
2391.030376586,3920
2391.032199785,3920
2391.034025947,3920
2391.035847165,3920
2391.037667309,3904
2391.039487175,3920
2391.041306874,3904
2391.043126573,3920
2391.044946495,3920
2391.046766416,3920
2391.048591004,3920
2391.050416759,3904
2391.05224157,3920
2391.054067954,3920
2391.055893709,3904
2391.057719408,3904
2391.059544237,3920
2391.061371066,3904
2391.063195136,3904
2391.065016909,3904
2391.06683972,3904
2391.068663123,3920
2391.070489377,3920
2391.072313799,3904
2391.074135665,3920
2391.075958346,3936
2391.0777811,3904
2391.079600707,3936
2391.081423518,3904
2391.083245013,3920
2391.085071175,3920
2391.086892245,3904
2391.088712981,3920
2391.090533014,3920
2391.092357954,3936
2391.094180042,3936
2391.096007945,3920
2391.097830107,3904
2391.099649159,3904
2391.101467765,3920
2391.103290446,3920
2391.105115942,3936
2391.106940067,3888
2391.108766748,3904
2391.11059241,3904
2391.112415406,3920
2391.114235179,3920
2391.116059804,3904
2391.117880078,3936
2391.119699906,3920
2391.121524754,3904
2391.12334812,3904
2391.125169986,3904
2391.126992685,3904
2391.12881381,3904
2391.130636676,3920
2391.132457042,3920
2391.134278334,3920
2391.136096904,3920
2391.137922825,3920
2391.139748913,3904
2391.141575446,3920
2391.143397331,3920
2391.145219697,3904
2391.147038174,3920
2391.148863447,3920
2391.150688202,3920
2391.152510475,3920
2391.154335156,3904
2391.156158392,3920
2391.157979499,3920
2391.159805976,3920
2391.161632453,3904
2391.163452245,3904
2391.165274018,3904
2391.167092681,3936
2391.168916102,3904
2391.17073569,3920
2391.172554797,3920
2391.174376256,3904
2391.176201788,3920
2391.178026895,3920
2391.179850372,3920
2391.181669738,3904
2391.183495419,3920
2391.185318229,3920
2391.187142521,3904
2391.188967183,3920
2391.190792197,3920
2391.192616174,3904
2391.194440726,3904
2391.196265851,3904
2391.198085513,3920
2391.199904249,3904
2391.201723152,3920
2391.203549537,3904
2391.205372514,3904
2391.207191676,3904
2391.209011227,3920
2391.210830427,3904
2391.212650015,3904
2391.214470659,3920
2391.21629558,3904
2391.218117816,3904
2391.21993809,3920
2391.2217569,3904
2391.223576748,3904
2391.225399336,3920
2391.227221387,3920
2391.229043272,3920
2391.23086586,3904
2391.232689244,3936
2391.234510962,3920
2391.236329476,3888
2391.238151009,3904
2391.239970819,3904
2391.241795204,3904
2391.24361844,3920
2391.245442936,3920
2391.247264005,3920
2391.24908289,3920
2391.250908552,3936
2391.252728677,3920
2391.254549876,3920
2391.256373557,3904
2391.258195053,3920
2391.260021437,3920
2391.261842766,3888
2391.26366328,3904
2391.265482276,3920
2391.26730429,3904
2391.269123934,3920
2391.270942559,3920
2391.272764592,3920
2391.274587865,3904
2391.276413898,3920
2391.278232467,3920
2391.280057833,3920
2391.28187994,3904
2391.283700102,3888
2391.285526413,3936
2391.287352871,3920
2391.289171089,3920
2391.290992473,3904
2391.292812636,3936
2391.294630854,3904
2391.296456534,3904
2391.298276215,3904
2391.300098637,3920
2391.301918706,3920
2391.303738795,3920
2391.305558031,3904
2391.307378175,3920
2391.309199429,3952
2391.311020869,3904
2391.312842198,3904
2391.314663898,3920
2391.316484449,3952
2391.31830313,3904
2391.320124773,3920
