Time,PulseCounts1,PulseCounts2
5947.660885527,1,0
5947.815527143,2,0
5948.033628505,3,0
5948.081805231,4,0
5948.25573137,5,0
5948.335060845,6,0
5948.404628604,7,0
5948.499307731,8,0
5948.566380237,9,0
5948.635046548,10,0
5948.690671107,11,0
5948.740398229,12,0
5948.76808485,13,0
5948.806988436,14,0
5948.858833254,15,0
5949.070081785,16,0
5951.4100569,16,1
5951.493982547,16,2
5951.698430062,16,3
5951.765391271,16,4
5951.947075191,16,5
5952.034362965,16,6
5952.216399386,16,7
5952.329023456,16,8
5952.514475135,16,9
5952.60093298,16,10
5952.631903044,16,11
5952.670866685,16,12
5952.730523246,16,13
5952.779043177,16,14
5952.831002736,16,15
