Time,Data1,Data2
0.02036,0.0,0.0
0.040853,0.0,0.0
0.061113,0.0,0.0
0.081301,0.0,0.0
0.101467,0.0,0.0
0.1219,0.0,0.0
0.142049,0.0,0.0
0.162233,0.0,0.0
0.182393,0.0,0.0
0.202645,0.0,0.0
0.222945,0.0,0.0
0.24319,0.0,0.0
0.263371,0.0,0.0
0.283625,0.0,0.0
0.303773,0.0,0.0
0.324188,0.0,0.0
0.344501,0.0,0.0
0.364587,0.0,0.0
0.384851,0.0,0.0
0.405004,0.0,0.0
0.425417,0.0,0.0
0.445563,0.0,0.0
0.465847,0.0,0.0
0.485992,0.0,0.0
0.506232,0.0,0.0
0.526524,0.0,0.0
0.546794,0.0,0.0
0.56699,0.0,0.0
0.587374,0.0,0.0
0.607552,0.0,0.0
0.628087,0.0,0.0
0.648271,0.0,0.0
0.668466,0.0,0.0
0.68872,0.0,0.0
0.708893,0.0,0.0
0.729327,0.0,0.0
0.749496,0.0,0.0
0.769797,0.0,0.0
0.789951,0.0,0.0
0.810118,0.0,0.0
0.830491,0.0,0.0
0.850788,0.0,0.0
0.870994,0.0,0.0
0.891251,0.0,0.0
0.911399,0.0,0.0
0.931822,0.0,0.0
0.951964,0.0,0.0
0.972167,0.0,0.0
0.992334,0.0,0.0
1.012499,0.0,0.0
1.032805,0.0,0.0
1.05295,0.0,0.0
1.073133,0.0,0.0
1.093304,0.0,0.0
1.113453,0.0,0.0
1.133764,0.0,0.0
1.154028,0.0,0.0
1.1742,0.0,0.0
1.19446,0.0,0.0
1.214615,0.0,0.0
1.235065,0.0,0.0
1.255216,0.0,0.0
1.275389,0.0,0.0
1.295701,0.0,0.0
1.315803,0.0,0.0
1.336224,0.0,0.0
1.356373,0.0,0.0
1.376629,0.0,0.0
1.396791,0.0,0.0
1.416956,0.0,0.0
1.437265,0.0,0.0
1.457529,0.0,0.0
1.477717,0.0,0.0
1.497946,0.0,0.0
1.518096,0.0,0.0
1.538552,0.0,0.0
1.558713,0.0,0.0
1.5789,0.0,0.0
1.599203,0.0,0.0
1.619288,0.0,0.0
1.639723,0.0,0.0
1.65987,0.0,0.0
1.680144,0.0,0.0
1.700319,0.0,0.0
1.720478,0.0,0.0
1.740816,0.0,0.0
1.76109,0.0,0.0
1.781273,0.0,0.0
1.801512,0.0,0.0
1.821675,0.0,0.0
1.842106,0.0,0.0
1.862266,0.0,0.0
1.882455,0.0,0.0
1.902781,0.0,0.0
1.922886,0.0,0.0
1.943311,0.0,0.0
1.963467,0.0,0.0
1.983826,0.0,0.0
2.00399,0.0,0.0
2.024146,0.0,0.0
2.044465,0.0,0.0
2.064733,0.0,0.0
2.084935,0.0,0.0
2.10519,0.0,0.0
2.125339,0.0,0.0
2.145712,0.0,0.0
2.165859,0.0,0.0
2.186154,0.0,0.0
2.206464,0.0,0.0
2.22655,0.0,0.0
2.246942,0.0,0.0
2.267086,0.0,0.0
2.287359,0.0,0.0
2.307501,0.0,0.0
2.327664,0.0,0.0
2.347966,0.0,0.0
2.368216,0.0,0.0
2.388385,0.0,0.0
2.408627,0.0,0.0
2.428779,0.0,0.0
2.449231,0.0,0.0
2.469374,0.0,0.0
2.48955,0.0,0.0
2.509865,0.0,0.0
2.529947,0.0,0.0
2.550365,0.0,0.0
2.570501,0.0,0.0
2.590785,0.0,0.0
2.610941,0.0,0.0
2.63109,0.0,0.0
2.651412,0.0,0.0
2.671669,0.0,0.0
2.691847,0.0,0.0
2.712087,0.0,0.0
2.732305,0.0,0.0
2.752764,0.0,0.0
2.772913,0.0,0.0
2.793107,0.0,0.0
2.813439,0.0,0.0
2.833553,0.0,0.0
2.853996,0.0,0.0
2.874161,0.0,0.0
2.894493,0.0,0.0
2.914652,0.0,0.0
2.934805,0.0,0.0
2.955128,0.0,0.0
2.975381,0.0,0.0
2.995555,0.0,0.0
3.01581,0.0,0.0
3.035972,0.0,0.0
3.056379,0.0,0.0
3.076537,0.0,0.0
3.096713,0.0,0.0
3.117026,0.0,0.0
3.137125,0.0,0.0
3.157535,0.0,0.0
3.177699,0.0,0.0
3.197979,0.0,0.0
3.218135,0.0,0.0
3.238398,0.0,0.0
3.258718,0.0,0.0
3.278981,0.0,0.0
3.299162,0.0,0.0
3.319398,0.0,0.0
3.339545,0.0,0.0
3.360014,0.0,0.0
3.380165,0.0,0.0
3.400316,0.0,0.0
3.420465,0.0,0.0
3.440751,0.0,0.0
3.460959,0.0,0.0
3.481111,0.0,0.0
3.501388,0.0,0.0
3.521593,0.0,0.0
3.541724,0.0,0.0
3.561974,0.0,0.0
3.582286,0.0,0.0
3.602536,0.0,0.0
3.622813,0.0,0.0
3.642963,0.0,0.0
3.663251,0.0,0.0
3.68341,0.0,0.0
3.703811,0.0,0.0
3.723958,0.0,0.0
3.744225,0.0,0.0
3.764405,0.0,0.0
3.784659,0.0,0.0
3.804966,0.0,0.0
3.82522,0.0,0.0
3.84537,0.0,0.0
3.865705,0.0,0.0
3.886015,0.0,0.0
3.906246,0.0,0.0
3.926502,0.0,0.0
3.946663,0.0,0.0
3.966926,0.0,0.0
3.987077,0.0,0.0
4.007499,0.0,0.0
4.027655,0.0,0.0
4.047892,0.0,0.0
4.068073,0.0,0.0
4.088338,0.0,0.0
4.108641,0.0,0.0
4.128888,0.0,0.0
4.149035,0.0,0.0
4.169317,0.0,0.0
4.189642,0.0,0.0
4.209893,0.0,0.0
4.230168,0.0,0.0
4.250316,0.0,0.0
4.270579,0.0,0.0
4.290752,0.0,0.0
4.31124,0.0,0.0
4.331377,0.0,0.0
4.351634,0.0,0.0
4.37181,0.0,0.0
4.392091,0.0,0.0
4.412397,0.0,0.0
4.432642,0.0,0.0
4.452785,0.0,0.0
4.473074,0.0,0.0
4.493384,0.0,0.0
4.513633,0.0,0.0
4.533887,0.0,0.0
4.554042,0.0,0.0
4.574326,0.0,0.0
4.59448,0.0,0.0
4.614937,0.0,0.0
4.635138,0.0,0.0
4.655406,0.0,0.0
4.675595,0.0,0.0
4.69577,0.0,0.0
4.71604,0.0,0.0
4.73619,0.0,0.0
4.756306,0.0,0.0
4.776598,0.0,0.0
4.796954,0.0,0.0
4.817208,0.0,0.0
4.837488,0.0,0.0
4.857645,0.0,0.0
4.877916,0.0,0.0
4.898062,0.0,0.0
4.918469,0.0,0.0
4.938625,0.0,0.0
4.958861,0.0,0.0
4.979048,0.0,0.0
4.999294,0.0,0.0
5.019606,0.0,0.0
5.039856,0.0,0.0
5.060006,0.0,0.0
5.080269,0.0,0.0
5.100592,0.0,0.0
5.120845,0.0,0.0
5.141082,0.0,0.0
5.161242,0.0,0.0
