Time,RawValue
3923.207154697,0
3923.209508854,0
3923.21118549,0
3923.212855329,0
3923.214522169,0
3923.216232157,0
3923.21789883,16
3923.219565521,16
3923.221232268,0
3923.222899034,16
3923.224565744,16
3923.226232454,16
3923.227899201,16
3923.229565873,0
3923.231232676,16
3923.232899349,0
3923.234566189,0
3923.236232917,0
3923.237899627,0
3923.239566355,16
3923.241233065,0
3923.242899775,0
3923.244566578,0
3923.246233399,0
3923.24790009,0
3923.2495668,16
3923.25123351,0
3923.252900202,0
3923.254567004,16
3923.256233751,0
3923.257900572,16
3923.259567264,0
3923.261234085,0
3923.262900869,0
3923.264567634,0
3923.2662344,16
3923.267901202,16
3923.269567931,0
3923.271234733,0
3923.272901406,16
3923.274568098,0
3923.276234808,16
3923.277901499,16
3923.279568172,0
3923.281234938,32
3923.28290161,0
3923.284568283,0
3923.286235067,16
3923.287901814,0
3923.289568598,0
3923.291235271,0
3923.292902092,0
3923.294568895,0
3923.296235568,16
3923.297902407,0
3923.299569229,0
3923.301235994,0
3923.302902667,0
3923.304569488,16
3923.306236235,0
3923.307902963,0
3923.309569785,0
3923.312375091,0
3923.314041912,0
3923.315708585,16
3923.317375258,32
3923.319042024,0
3923.320708697,0
3923.322375536,16
3923.324042339,0
3923.32570903,16
3923.327375814,16
3923.329042617,0
3923.330709327,16
3923.332376111,16
3923.334042821,0
3923.335709512,0
3923.337376259,16
3923.339043006,0
3923.340709809,16
3923.3423765,0
3923.344043192,32
3923.345709883,0
3923.347376611,16
3923.349043451,0
3923.350710161,16
3923.352376871,16
3923.354043544,0
3923.355710291,16
3923.357377112,0
3923.359043859,0
3923.360710624,0
3923.362377316,0
3923.364043989,16
3923.365710791,0
3923.367377575,0
3923.369044341,32
3923.370711162,16
3923.372377872,16
3923.374044545,0
3923.375711292,0
3923.377378113,0
3923.379044786,16
3923.380711514,0
3923.382378206,0
3923.384044897,0
3923.38571157,32
3923.38737828,16
3923.38904499,16
3923.3907117,0
3923.392378502,16
3923.394045286,0
3923.395711996,16
3923.397378743,0
3923.399045453,16
3923.400712163,16
3923.402378966,0
3923.404045639,0
3923.405712312,0
3923.407379096,16
3923.409045806,0
3923.410712497,16
3923.412379318,0
3923.414046121,16
3923.415712812,16
3923.417379633,16
3923.419046436,0
3923.420713146,0
3923.422379911,0
3923.424046677,32
3923.425713461,16
3923.4273803,32
3923.42904714,16
3923.430713868,0
3923.43238056,16
3923.434047288,0
3923.435714035,0
3923.437380745,16
3923.439047437,16
3923.44071411,16
3923.442380819,32
3923.444047566,16
3923.445714295,16
3923.447381005,0
3923.449047733,16
3923.450714517,0
3923.452381301,0
3923.454047993,16
3923.455714832,0
3923.457381616,0
3923.459048363,16
3923.460715147,16
3923.462381857,0
3923.464048697,16
3923.465715463,0
3923.467382154,32
3923.469048864,16
3923.470715648,16
3923.472382395,16
3923.474049216,0
3923.475715907,16
3923.477382617,0
3923.479049346,0
3923.480716037,0
3923.482382821,0
3923.484049568,16
3923.485716315,0
3923.487383118,16
3923.489049809,0
3923.490716556,16
3923.492383359,0
3923.49405018,0
3923.495716945,32
3923.497383692,0
3923.499050532,0
3923.500717223,16
3923.50238397,0
3923.504050791,0
3923.505717501,16
3923.507384174,0
3923.509050995,16
3923.510717705,16
3923.512384508,0
3923.514051292,16
3923.515718076,0
3923.517384786,0
3923.519051514,0
3923.520718206,0
3923.522385008,0
3923.524051792,16
3923.525718465,0
3923.527385249,0
3923.529052089,0
3923.53071891,0
3923.532385694,16
3923.534052422,0
3923.535719244,0
3923.537385916,0
3923.539052589,0
3923.54071941,0
3923.542386157,0
3923.544052867,16
3923.545719596,0
3923.547386343,16
3923.549053164,16
3923.550719855,0
3923.552386602,0
3923.554053312,0
3923.555720078,0
3923.557386843,0
3923.559053516,0
3923.560720245,0
3923.56238701,16
3923.564053813,0
3923.565720615,0
3923.567387325,16
3923.569054128,0
3923.570720875,16
3923.572387677,0
3923.574054406,16
3923.575721208,0
3923.5773879,0
3923.579054573,0
3923.580721338,16
3923.582388104,0
3923.584054925,0
3923.585721672,0
3923.5873884,0
3923.589055166,0
3923.59072195,16
3923.592388678,0
3923.594055351,16
3923.595722024,16
3923.597388827,16
3923.5990555,16
3923.600722172,16
3923.602388938,0
3923.604055759,0
3923.605722599,16
3923.60738929,0
3923.609056019,0
3923.610722803,32
3923.612389568,0
3923.614056334,16
3923.615723044,0
3923.617389772,0
3923.619056482,16
3923.620723173,16
3923.622389902,16
3923.624056575,16
3923.625723266,0
3923.627390032,0
3923.629056705,0
3923.630723378,16
3923.632390143,16
3923.634056964,0
3923.635723711,0
3923.637390477,16
3923.639057279,16
3923.640724008,16
3923.64239081,0
