Time,Data1,Data2
0.100345,0,0
0.200476,0,0
0.3006,0,0
0.401264,0,0
0.501395,0,0
0.601524,0,0
0.701896,0,0
0.801995,0,0
0.902126,0,0
1.002246,0,0
1.102356,0,0
1.202485,0,0
1.30273,0,62
1.402869,0,0
1.503017,0,0
1.603166,0,0
1.703299,0,62
1.803419,0,0
1.903536,0,0
2.003686,0,62
2.103945,0,0
2.204167,0,0
2.304305,0,62
2.404435,0,0
2.504576,0,62
2.604713,0,0
2.704853,0,62
2.805002,0,0
2.905005,0,0
3.005081,0,62
3.1052,0,0
3.205452,0,0
3.305588,0,62
3.405733,0,0
3.505845,0,62
3.605983,0,62
3.706196,0,0
3.806326,0,62
3.906445,0,62
4.006575,0,62
4.106699,0,62
4.206848,0,62
4.306992,0,62
4.407121,0,62
4.507268,0,0
4.6074,0,62
4.707544,0,62
4.807686,0,62
4.907968,0,125
5.0081,0,62
5.108246,0,62
5.20838,0,125
5.308518,0,62
5.408636,0,125
5.508773,0,125
5.608917,0,62
5.709043,0,125
5.809169,0,125
5.90931,0,125
6.009432,0,62
6.109676,0,125
6.209786,0,125
6.309912,0,187
6.410036,0,125
6.510171,0,125
6.610291,0,125
6.710455,0,187
6.810573,0,125
6.9107,0,187
7.010825,0,125
7.110954,0,187
7.21108,0,125
7.311303,0,187
7.411431,0,187
7.511583,0,187
7.611704,0,187
7.711939,0,187
7.812085,0,187
7.912217,0,187
8.012339,0,187
8.112503,0,187
8.212622,0,187
8.312766,0,187
8.412911,0,187
8.513256,0,187
8.613389,0,187
8.713527,0,125
8.813668,0,187
8.913812,0,187
9.013945,0,187
9.114065,0,187
9.214162,0,125
9.314312,0,187
9.415117,0,186
9.515227,0,125
9.615469,0,187
9.715594,0,125
9.81573,0,187
9.915879,0,125
10.016007,0,125
10.116254,0,187
10.216399,0,125
10.316526,0,125
10.416658,0,125
10.516874,0,125
10.617,0,125
10.717131,0,125
10.817278,0,125
10.917422,0,125
11.017778,0,125
11.117907,0,125
11.21805,0,125
11.318177,0,125
11.418283,0,125
11.518407,0,125
11.61853,0,62
11.718668,0,125
11.818788,0,125
11.919019,0,62
12.01925,0,125
12.11938,0,62
12.219514,0,125
12.319948,0,62
12.420233,0,125
12.520362,0,62
12.62051,0,62
12.720634,0,125
12.820762,0,62
12.920903,0,62
13.021048,0,62
13.121191,0,125
13.221329,0,62
13.321462,0,62
13.421588,0,62
13.521807,0,62
13.621945,0,62
13.722061,0,62
13.822199,0,62
13.922432,0,62
14.022553,0,62
14.122683,0,62
14.222823,0,62
14.322965,0,62
14.423262,0,0
14.523413,0,62
14.623538,0,62
14.723676,0,62
14.823801,0,0
14.923947,0,62
15.024086,0,0
15.124302,0,62
15.224442,0,62
15.324622,0,0
15.424712,0,62
15.52484,0,0
15.624987,0,62
15.725102,0,0
15.825243,0,62
15.925369,0,0
16.025628,0,0
16.125744,0,62
16.225883,0,0
16.326001,0,0
16.426151,0,62
16.526509,0,0
16.626639,0,0
16.726773,0,0
16.826908,0,62
16.927037,0,0
17.027168,0,0
17.127438,0,0
17.227565,0,0
17.327703,0,62
17.429232,0,0
17.529358,0,0
17.629498,0,0
17.729625,0,0
17.829787,0,0
17.930159,0,0
18.030294,0,0
18.130423,0,0
18.230544,0,0
18.330702,0,0
18.430845,0,0
18.531071,0,0
18.631353,0,0
18.731437,0,0
18.831611,0,0
18.931742,0,0
19.031871,0,0
19.132241,0,0
19.232373,0,0
19.332494,0,0
19.43272,0,0
19.532767,0,0
19.632911,0,0
19.733036,0,0
19.833156,0,0
19.933311,0,0
20.033449,0,0
20.133584,0,0
20.233723,0,0
20.333858,0,0
20.434011,0,0
20.534135,0,0
20.634369,0,0
