Time,RawValue1,RawValue2
5722.404500938,20208,20800
5722.408516271,20208,20800
5722.411624808,20192,20784
5722.414699327,20208,20800
5722.417799068,20192,20816
5722.420859734,20192,20800
5722.423915845,20224,20816
5722.426958679,20208,20800
5722.429993864,20208,20832
5722.433036197,20224,20816
5722.43606616,20192,20784
5722.439093623,20192,20784
5722.442120808,20208,20832
5722.445146864,20208,20784
5722.448167697,20208,20800
5722.451197882,20192,20800
5722.45422679,20176,20768
5722.457254031,20160,20800
5722.460286975,20224,20784
5722.463309993,20176,20816
5722.466332271,20176,20768
5722.469358475,20208,20768
5722.472374105,20208,20800
5722.475394475,20160,20784
5722.47842429,20208,20784
5722.481420031,20176,20784
5722.48435916,20224,20784
5722.487299179,20224,20816
5722.490239105,20224,20816
5722.493184234,20208,20816
5722.49613279,20208,20816
5722.499071364,20240,20816
5722.502011364,20192,20800
5722.504950382,20224,20800
5722.50789816,20208,20832
5722.510841401,20192,20784
5722.513788271,20192,20784
5722.516728716,20224,20800
5722.519669419,20208,20832
5722.522615234,20224,20800
5722.525565512,20192,20832
5722.528512771,20192,20800
5722.531459679,20192,20816
5722.534397697,20224,20800
5722.537336493,20224,20768
5722.540275827,20208,20816
5722.543217568,20192,20800
5722.546158753,20176,20816
5722.549097716,20160,20768
5722.552036216,20176,20784
5722.554974308,20208,20800
5722.557911938,20224,20784
5722.560852438,20192,20768
5722.563800012,20192,20800
5722.566747993,20224,20816
5722.569692345,20192,20784
5722.572634382,20176,20832
5722.575575382,20192,20784
5722.578534771,20208,20768
5722.58148803,20176,20832
5722.58443666,20176,20816
5722.587376086,20208,20816
5722.590315993,20208,20832
5722.593257142,20208,20800
5722.596199697,20208,20816
5722.599141382,20224,20768
5722.602079993,20208,20800
5722.605021975,20208,20832
5722.607960586,20224,20816
5722.610899938,20208,20816
5722.613849179,20192,20800
5722.616789549,20208,20816
5722.619733697,20208,20784
5722.622680456,20192,20816
5722.625630142,20192,20816
5722.62857716,20224,20784
5722.631533123,20208,20816
5722.634483179,20176,20768
5722.63743116,20208,20784
5722.640380512,20192,20800
5722.643328827,20160,20816
5722.646278104,20208,20816
5722.649224493,20192,20816
5722.652171993,20208,20800
5722.655121697,20176,20784
5722.658078753,20192,20848
5722.661025012,20224,20832
5722.663970438,20208,20816
5722.666920067,20208,20784
5722.669867845,20192,20832
5722.672820253,20224,20816
5722.675767179,20176,20832
5722.678717901,20176,20784
5722.681673253,20208,20784
5722.684619012,20176,20816
5722.687564808,20208,20784
5722.690517382,20208,20784
5722.69347129,20192,20816
5722.696419993,20192,20784
5722.699408716,20176,20832
5722.702358364,20224,20832
5722.705304586,20224,20784
5722.708252623,20192,20800
5722.711204197,20160,20800
5722.714152308,20224,20832
5722.717104456,20208,20784
5722.72005079,20192,20784
5722.722999179,20208,20832
5722.725946475,20240,20784
5722.728904382,20208,20816
5722.73185316,20240,20816
5722.734802141,20176,20816
5722.737750993,20192,20784
5722.740700086,20208,20816
5722.743648808,20208,20800
5722.746602271,20192,20768
5722.749553975,20192,20832
5722.752506771,20192,20800
5722.75545953,20224,20784
5722.758413716,20176,20816
5722.76136603,20192,20816
5722.764321086,20176,20800
5722.767273067,20192,20832
5722.770219938,20176,20784
5722.773168827,20176,20800
5722.776118753,20176,20800
5722.779067234,20160,20800
5722.782018438,20176,20832
5722.784972049,20240,20784
5722.787920049,20208,20784
5722.790869882,20208,20816
5722.79381879,20240,20800
5722.796768012,20208,20800
5722.799717808,20192,20784
5722.802669641,20192,20816
5722.805617901,20192,20816
5722.808564919,20176,20800
5722.811509086,20176,20816
5722.814456864,20256,20800
5722.817412308,20208,20800
5722.820364549,20240,20816
5722.82331129,20240,20832
5722.826257864,20192,20816
5722.829209512,20208,20784
5722.832156956,20208,20816
5722.835106938,20160,20832
5722.838056012,20208,20784
5722.841005864,20208,20800
5722.843953419,20192,20832
5722.84690216,20176,20816
5722.849850956,20192,20784
5722.852800364,20176,20800
5722.855761827,20176,20800
5722.858714771,20208,20752
5722.861663012,20176,20800
5722.864613456,20208,20784
5722.867564308,20160,20816
5722.870519067,20176,20816
5722.873466641,20176,20768
5722.876416567,20192,20800
5722.879364512,20192,20752
5722.882316512,20176,20832
5722.885265141,20208,20800
5722.888225049,20224,20800
5722.891172567,20208,20800
5722.894122049,20192,20832
5722.897071678,20224,20800
5722.900022234,20192,20800
5722.902975919,20176,20800
5722.905921715,20208,20800
5722.908868401,20192,20816
5722.91181453,20192,20832
5722.914762475,20208,20800
5722.917713049,20176,20832
5722.92065979,20224,20848
5722.923601586,20208,20800
5722.926553771,20240,20816
5722.929502271,20224,20816
5722.932454752,20224,20800
5722.935405956,20176,20816
5722.938362123,20160,20816
5722.941309752,20208,20800
5722.944261919,20208,20800
5722.947209086,20208,20784
5722.950160808,20208,20800
5722.953114012,20176,20768
5722.956060252,20192,20784
5722.958999141,20224,20768
5722.961942364,20176,20800
5722.964889382,20208,20784
5722.967834604,20208,20800
5722.970786771,20176,20784
5722.973734512,20208,20800
5722.976686215,20192,20800
5722.979635993,20192,20800
5722.982586901,20176,20784
5722.985537086,20208,20816
5722.988487104,20224,20784
5722.991435067,20192,20832
5722.99438366,20224,20848
5722.997334364,20176,20816
5723.000284419,20208,20800
5723.003235419,20224,20816
5723.006189623,20192,20800
5723.009138456,20224,20816
5723.012088956,20192,20800
5723.015039993,20208,20816
5723.017994641,20176,20800
5723.020949493,20208,20800
5723.02390353,20208,20848
5723.026851197,20208,20784
5723.029801419,20240,20816
5723.032750549,20208,20832
5723.035700308,20224,20816
5723.038650345,20192,20800
5723.041601845,20192,20800
5723.044550697,20208,20784
5723.047497456,20208,20832
5723.050449919,20224,20784
5723.053401678,20192,20800
5723.056348215,20176,20768
5723.059300419,20224,20768
5723.062249493,20192,20784
5723.065196086,20192,20800
5723.068149141,20192,20784
5723.071100789,20192,20800
5723.074050641,20176,20848
5723.076997401,20208,20784
5723.079944438,20192,20784
5723.082888178,20192,20816
5723.085836252,20208,20800
5723.088816863,20224,20816
5723.091768789,20192,20816
5723.094719289,20208,20800
5723.097672308,20208,20832
5723.100624901,20208,20784
5723.103574012,20192,20800
5723.10654616,20208,20832
5723.109493604,20224,20800
5723.112440715,20208,20816
5723.115391475,20224,20816
5723.11833953,20224,20800
5723.121289975,20192,20800
5723.124238252,20192,20832
5723.127187993,20192,20800
5723.130138104,20208,20816
5723.133086919,20176,20784
5723.136032252,20176,20800
5723.138980604,20192,20784
5723.141929752,20208,20784
5723.144878623,20192,20800
5723.147821289,20192,20816
5723.150769456,20176,20784
5723.153724993,20192,20784
5723.156680882,20192,20768
5723.159631419,20176,20784
5723.162581715,20176,20816
5723.165525012,20208,20800
5723.168467141,20160,20832
5723.171415956,20224,20768
5723.174369178,20192,20784
5723.177316734,20224,20800
5723.180267863,20192,20784
5723.183216993,20192,20816
5723.186164252,20176,20800
5723.189143715,20208,20816
5723.192096586,20224,20816
5723.195044641,20208,20800
5723.197998493,20192,20800
5723.200954234,20192,20832
5723.203901549,20176,20816
5723.206853197,20224,20800
5723.209800826,20192,20832
5723.212751419,20160,20784
5723.215697641,20192,20784
5723.218645604,20176,20784
5723.221593808,20192,20784
5723.224552734,20176,20768
5723.227503326,20240,20816
5723.230449863,20192,20800
5723.233389586,20192,20800
5723.236335252,20192,20784
5723.239286308,20160,20768
5723.242237252,20192,20816
5723.245188808,20192,20752
5723.248138586,20160,20800
5723.251085197,20176,20800
5723.254035363,20192,20784
5723.256981234,20224,20784
5723.259930437,20192,20784
5723.262878882,20176,20752
5723.265825993,20208,20784
5723.268773789,20208,20784
5723.271716641,20176,20800
5723.274671437,20160,20784
5723.277618993,20192,20816
5723.280572419,20192,20768
5723.283522234,20176,20784
5723.286471049,20192,20784
5723.2894189,20176,20816
5723.292369326,20192,20800
5723.295320104,20176,20800
5723.298272456,20208,20816
5723.301222271,20208,20832
5723.304168493,20240,20800
5723.307110215,20192,20816
5723.3100624,20208,20784
5723.313016215,20224,20784
5723.315966474,20192,20784
5723.318918271,20192,20800
5723.321863956,20224,20784
5723.324808845,20208,20816
5723.327758437,20208,20816
5723.330706474,20192,20816
5723.333657326,20208,20832
5723.336610863,20192,20800
5723.339560123,20192,20816
5723.34251803,20192,20800
5723.34547016,20224,20768
5723.348420271,20208,20816
5723.351370678,20176,20800
5723.354324308,20176,20784
5723.35729466,20192,20800
5723.360249363,20176,20864
5723.363200604,20240,20800
5723.366150937,20176,20800
5723.369100567,20224,20800
5723.372048363,20176,20800
5723.374995734,20176,20784
5723.377948419,20192,20784
5723.380900234,20208,20768
5723.383849548,20224,20784
5723.386800104,20192,20784
5723.3897539,20224,20832
5723.392702067,20208,20816
5723.395648993,20192,20800
5723.398600086,20176,20784
5723.401550511,20208,20784
5723.404500308,20224,20816
5723.407447937,20192,20784
5723.410395604,20176,20768
5723.413346178,20208,20800
5723.416293974,20176,20800
5723.419244493,20240,20816
5723.422414419,20192,20800
5723.426629974,20224,20784
