Time,Data
15.748368,6.56
15.758187,6.37
15.771137,4.83
15.777094,10.49
15.786481,6.66
15.796019,6.55
15.805457,6.62
15.814842,6.66
15.82423,6.66
15.833562,6.7
15.846627,4.78
15.852806,10.11
15.862167,6.68
15.871324,6.83
15.880224,7.02
15.88949,6.75
15.898902,6.64
15.908611,6.44
15.921161,4.98
15.926918,10.86
15.939641,4.91
15.94548,10.7
15.954662,6.81
15.963781,6.85
15.972963,6.81
15.982502,6.55
15.99163,6.85
16.001386,6.41
16.01338,5.21
16.019253,10.64
16.02813,7.04
16.038025,6.32
16.046289,7.56
16.05561,6.71
16.068187,4.97
16.073691,11.36
16.082903,6.78
16.092009,6.86
16.100987,6.96
16.110032,6.91
16.119183,6.83
16.12834,6.83
16.137609,6.74
16.14673,6.85
16.155781,6.91
16.164902,6.85
16.17405,6.83
16.182943,7.03
16.192067,6.85
16.201231,6.82
16.210474,6.76
16.219442,6.97
16.228767,6.7
16.237846,6.88
16.246918,6.89
16.256044,6.85
16.265239,6.8
16.2744,6.82
16.283639,6.77
16.293092,6.61
16.302381,6.73
16.3151,4.91
16.324265,6.82
16.329891,11.11
16.339247,6.68
16.348433,6.8
16.357744,6.71
16.366955,6.78
16.379966,4.8
16.385879,10.57
16.394977,6.87
16.404249,6.74
16.413605,6.68
16.422965,6.68
16.432334,6.67
16.441838,6.58
16.4514,6.54
16.46427,4.86
16.473904,6.49
16.480129,10.03
16.489398,6.74
16.498811,6.64
16.50841,6.51
16.518038,6.49
16.528358,6.06
16.537333,6.96
16.546889,6.54
16.556287,6.65
16.565892,6.51
16.57545,6.54
16.585318,6.33
16.594538,6.78
16.604288,6.41
16.614642,6.04
16.627533,4.84
16.633727,10.09
16.643374,6.48
16.653139,6.4
16.66293,6.38
16.672716,6.39
16.682704,6.26
16.694216,5.43
16.702244,7.79
16.711776,6.56
16.721609,6.36
16.731441,6.36
16.741157,6.43
16.751151,6.25
16.761202,6.22
16.771747,5.93
16.781238,6.59
16.791364,6.17
16.801089,6.43
16.810964,6.33
16.820985,6.24
16.830848,6.34
16.841196,6.04
16.851241,6.22
16.861117,6.33
16.871077,6.28
16.881242,6.15
16.891317,6.2
16.901643,6.05
16.911818,6.14
16.921939,6.18
16.93208,6.16
16.942202,6.17
16.952197,6.25
16.962402,6.12
16.972825,6.0
16.987096,4.38
16.99331,10.06
17.006767,4.63
17.013411,9.41
17.025626,5.12
17.033207,8.25
17.043218,6.24
17.053284,6.21
17.067208,4.49
17.073339,10.19
17.083335,6.25
17.09328,6.28
17.102992,6.44
17.113237,6.1
17.12313,6.32
17.137274,4.42
17.147166,6.32
17.153526,9.83
17.167284,4.54
17.173572,9.94
17.183569,6.25
17.193747,6.14
17.203804,6.21
17.214303,5.95
17.224566,6.09
17.234463,6.32
17.244605,6.16
17.254232,6.49
17.264219,6.26
17.274292,6.2
17.284507,6.12
17.294797,6.07
17.308975,4.41
17.315036,10.31
17.328711,4.57
17.335026,9.9
17.344901,6.33
17.355209,6.06
17.365252,6.22
17.375586,6.05
17.38946,4.5
17.39563,10.13
17.406373,5.82
17.415996,6.49
17.42572,6.43
17.436072,6.04
17.446242,6.15
17.460282,4.45
17.470551,6.09
17.47687,9.89
17.487005,6.17
17.497072,6.21
17.50731,6.1
17.517361,6.22
17.527438,6.2
17.537895,5.98
17.551986,4.44
17.558252,9.97
17.568617,6.03
17.578986,6.03
17.588804,6.37
17.599161,6.03
17.609505,6.04
17.620866,5.5
17.63428,4.66
17.640781,9.61
17.654491,4.55
17.661109,9.44
17.671648,5.93
17.681663,6.24
17.691972,6.06
17.702372,6.01
17.716903,4.3
17.723639,9.27
17.733879,6.1
17.743732,6.34
17.754106,6.02
17.764485,6.02
17.774551,6.21
17.788933,4.34
17.79902,6.2
17.80555,9.57
17.815969,6.0
17.825954,6.26
17.836267,6.06
17.84647,6.13
17.856888,6.0
17.867227,6.05
17.881515,4.37
17.887993,9.65
17.898483,5.96
17.908412,6.29
17.91888,5.97
17.929311,5.99
17.939598,6.08
17.950319,5.83
17.964585,4.38
17.972808,7.6
17.98139,7.28
17.991585,6.13
18.001835,6.1
18.012323,5.96
18.02276,5.99
18.033074,6.06
18.043706,5.88
18.054972,5.55
18.068244,4.71
18.074897,9.39
18.085028,6.17
18.095146,6.18
18.106024,5.75
18.1169,5.75
18.1308,4.5
18.137094,9.93
18.151442,4.36
18.157881,9.71
18.16819,6.06
18.178576,6.02
18.188971,6.01
18.199619,5.87
18.214359,4.24
18.220637,9.94
18.231335,5.84
18.241269,6.29
18.25155,6.08
18.262043,5.96
18.272588,5.93
18.28718,4.28
18.29753,6.04
18.30382,9.94
18.318326,4.3
18.324927,9.47
18.335327,6.01
18.345797,5.97
18.35624,5.98
18.366937,5.84
18.381681,4.24
18.387972,9.94
18.398527,5.92
18.408906,6.02
18.419134,6.11
18.42957,5.99
18.440195,5.88
18.451213,5.67
18.46543,4.4
18.47213,9.33
18.482725,5.9
18.493001,6.08
18.50346,5.98
18.513881,6.0
18.524869,5.69
18.535235,6.03
18.545668,5.99
18.560489,4.22
18.570777,6.07
18.57761,9.15
18.587928,6.06
18.598532,5.89
18.60918,5.87
18.623764,4.29
18.63479,5.67
18.640921,10.19
18.651426,5.95
18.661882,5.98
18.672237,6.04
18.682894,5.86
18.693777,5.74
18.704193,6.0
18.714467,6.08
18.725174,5.84
18.73946,4.38
18.746448,8.94
18.756372,6.3
18.766816,5.98
18.777814,5.68
18.792412,4.28
18.802872,5.97
18.809491,9.44
18.820252,5.81
18.830609,6.03
18.840953,6.04
18.851582,5.88
18.862192,5.89
18.872963,5.8
18.884016,5.65
18.893762,6.41
18.904299,5.93
18.914848,5.92
18.925268,6.0
18.935794,5.94
18.946418,5.88
18.957375,5.7
18.971677,4.37
18.979205,8.3
18.992499,4.7
18.999365,9.1
19.00971,6.04
19.020071,6.03
19.030773,5.84
19.041526,5.81
19.056177,4.26
19.062474,9.92
19.072896,6.0
19.083474,5.91
19.093855,6.02
19.104338,5.96
19.115008,5.86
19.126034,5.67
19.140658,4.26
19.147355,9.33
19.16159,4.38
19.168215,9.43
19.178857,5.87
19.189352,5.96
19.199991,5.87
19.211372,5.49
19.22539,4.46
19.232136,9.26
19.24678,4.26
19.253521,9.27
19.264013,5.96
19.274696,5.85
19.286158,5.45
19.300679,4.3
19.311317,5.88
19.317747,9.72
19.328904,5.6
19.33931,6.01
19.350033,5.83
19.360836,5.79
19.371604,5.8
19.38269,5.64
19.397625,4.18
19.404535,9.03
19.415224,5.85
19.426023,5.79
19.436542,5.94
19.44725,5.84
19.458428,5.59
19.469681,5.55
19.484661,4.17
19.491334,9.36
19.506021,4.26
19.513075,8.86
19.524567,5.44
19.534952,6.02
19.545974,5.67
19.557328,5.5
19.572376,4.15
19.57915,9.23
19.590651,5.43
19.601284,5.88
19.611968,5.85
19.622956,5.69
19.633974,5.67
19.645457,5.44
19.6604,4.18
19.667286,9.08
19.678269,5.69
19.689179,5.73
19.700066,5.74
19.71112,5.65
19.72202,5.73
19.733634,5.38
19.74436,5.83
19.755068,5.84
19.766386,5.52
19.777228,5.76
19.787912,5.85
19.799069,5.6
19.810145,5.64
19.822696,4.98
19.836603,4.49
19.8445,7.91
19.854718,6.12
19.865693,5.69
19.876472,5.8
19.887583,5.62
19.898483,5.73
19.909934,5.46
19.920845,5.73
19.932548,5.34
19.947162,4.28
19.954125,8.98
19.964739,5.89
19.975782,5.66
19.986931,5.61
20.002378,4.05
20.013504,5.62
20.020712,8.67
20.035366,4.26
20.042427,8.85
20.053616,5.59
20.064376,5.81
20.075367,5.69
20.086457,5.64
20.101879,4.05
20.108805,9.02
20.120011,5.58
20.130382,6.03
20.141437,5.65
20.151955,5.94
20.1631,5.61
20.178089,4.17
20.189272,5.59
20.195993,9.3
20.211098,4.13
20.218255,8.73
20.23305,4.22
20.240076,8.9
20.250716,5.87
20.261828,5.62
20.277582,3.97
20.288159,5.91
20.299102,5.71
20.306227,8.77
20.316674,5.98
20.32741,5.82
20.338508,5.63
20.350251,5.32
20.364431,4.41
20.371458,8.89
20.385812,4.34
20.393026,8.66
20.407589,4.29
20.414678,8.82
20.425654,5.69
20.436449,5.79
20.451856,4.05
20.462661,5.78
20.473213,5.92
20.480453,8.63
20.490821,6.03
20.501528,5.84
20.512366,5.77
20.527558,4.11
20.538306,5.82
20.545258,8.99
20.55876,4.63
20.566537,8.03
20.57737,5.77
20.588313,5.71
20.59899,5.85
20.609828,5.77
20.625104,4.09
20.635752,5.87
20.642832,8.83
20.653678,5.76
20.663983,6.07
20.674632,5.87
20.685404,5.8
20.696373,5.7
20.711287,4.19
20.718242,8.99
20.728953,5.84
20.739072,6.18
20.750349,5.54
20.760604,6.09
20.771466,5.75
20.782242,5.8
20.793109,5.75
20.803762,5.87
20.814321,5.92
20.824995,5.85
20.835676,5.85
20.84642,5.82
20.857199,5.8
20.868138,5.71
20.879109,5.7
20.889717,5.89
20.900291,5.91
20.911424,5.61
20.921835,6.0
20.932833,5.68
20.943254,6.0
20.95372,5.97
20.964613,5.74
20.975517,5.73
20.99063,4.13
20.996774,10.17
21.007318,5.93
21.018113,5.79
21.028724,5.89
21.039424,5.84
21.050184,5.81
21.060727,5.93
21.07111,6.02
21.081533,6.0
21.092046,5.95
21.10254,5.96
21.113037,5.95
21.123575,5.93
21.138638,4.15
21.145335,9.33
21.155112,6.39
21.165536,6.0
21.17595,6.0
21.186844,5.74
21.197105,6.09
21.207949,5.76
21.21864,5.85
21.228823,6.14
21.239102,6.08
21.249904,5.79
21.260073,6.15
21.270856,5.8
21.281282,5.99
21.291768,5.96
21.302402,5.88
21.312891,5.96
21.323488,5.9
21.333906,6.0
21.344499,5.9
21.355152,5.87
21.365791,5.87
21.376528,5.82
21.387241,5.83
21.397667,5.99
21.408327,5.86
21.41875,6.0
21.42937,5.89
21.440542,5.59
21.451158,5.89
21.461888,5.82
21.4727,5.78
21.483496,5.79
21.494271,5.8
21.50508,5.78
21.515954,5.75
21.526819,5.75
21.53782,5.68
21.548843,5.67
21.559879,5.66
21.570943,5.65
21.58173,5.79
21.592783,5.65
21.603873,5.64
21.614989,5.62
21.626017,5.67
21.63712,5.63
21.648173,5.65
21.659184,5.68
21.670544,5.5
21.681308,5.81
21.692685,5.49
21.703764,5.64
21.714775,5.68
21.725947,5.59
21.737158,5.57
21.748199,5.66
21.759326,5.62
21.770367,5.66
21.781278,5.73
21.792627,5.51
21.803957,5.52
21.81507,5.62
21.826209,5.61
21.837357,5.61
21.848581,5.57
21.859751,5.6
21.871039,5.54
21.882371,5.52
21.89359,5.57
21.904927,5.51
21.920814,3.93
21.927625,9.18
21.938697,5.64
21.95011,5.48
21.961442,5.52
21.972939,5.44
21.98449,5.41
21.99573,5.56
22.00725,5.43
22.018632,5.49
22.030125,5.44
22.04148,5.5
22.053125,5.37
22.064851,5.33
22.075753,5.73
22.087289,5.42
22.098668,5.49
22.109893,5.57
22.121366,5.45
22.132622,5.55
22.143832,5.58
22.155218,5.49
22.166689,5.45
22.177973,5.54
22.189194,5.57
22.20045,5.55
22.211635,5.59
22.222888,5.55
22.234005,5.62
22.245193,5.59
22.25624,5.66
22.267027,5.79
22.277933,5.73
22.288836,5.73
22.300254,5.47
22.311046,5.79
22.321899,5.76
22.332689,5.79
22.343457,5.8
22.354759,5.53
22.369911,4.12
22.376477,9.52
22.386293,6.37
22.397405,5.62
22.407776,6.03
22.41852,5.82
22.433106,4.28
22.443665,5.92
22.453913,6.1
22.461358,8.39
22.471025,6.47
22.481307,6.08
22.494928,4.59
22.501513,9.49
22.511711,6.13
22.525805,4.43
22.535944,6.16
22.541989,10.34
22.552125,6.17
22.561907,6.39
22.57207,6.15
22.582341,6.09
22.591743,6.65
22.602413,5.86
22.615234,4.88
22.62246,8.65
22.631498,6.92
22.641065,6.53
22.650839,6.39
22.660835,6.25
22.670562,6.43
22.680232,6.46
22.693758,4.62
22.703511,6.41
22.709914,9.76
22.719119,6.79
22.728849,6.42
22.738448,6.51
22.748191,6.41
22.758152,6.27
22.771173,4.8
22.777816,9.41
22.790367,4.98
22.796989,9.44
22.806129,6.84
22.81573,6.51
22.825306,6.53
22.835121,6.37
22.844761,6.48
22.85443,6.46
22.864198,6.4
22.87774,4.62
22.887155,6.64
22.893291,10.19
22.902704,6.64
22.911738,6.92
22.920695,6.98
22.933815,4.76
22.942974,6.82
22.949108,10.19
22.961193,5.17
22.966835,11.08
22.975952,6.86
22.986552,5.9
22.994783,7.59
23.003431,7.23
23.016435,4.8
23.02391,8.36
23.03082,9.05
23.040006,6.8
23.048907,7.02
23.061544,4.95
23.070465,7.01
23.079431,6.97
23.088256,7.08
23.094553,9.93
23.106261,5.34
23.112026,10.84
23.121065,6.91
23.133755,4.93
23.142423,7.21
23.151452,6.92
23.160472,6.93
23.167852,8.47
23.174658,9.18
23.183427,7.13
23.192504,6.88
23.204738,5.11
23.213499,7.13
23.218813,11.76
23.227396,7.28
23.239855,5.01
23.248413,7.3
23.254154,10.89
23.262666,7.34
23.271372,7.18
23.279922,7.31
23.288863,6.99
23.301164,5.08
23.309791,7.25
23.318091,7.53
23.323431,11.71
23.332178,7.15
23.340919,7.15
23.352282,5.5
23.361082,7.1
23.369893,7.09
23.375865,10.47
23.385402,6.55
23.392233,9.15
23.400181,7.86
23.408988,7.1
23.421555,4.97
23.43013,7.29
23.43551,11.62
23.443909,7.44
23.45252,7.26
23.461211,7.19
23.473407,5.12
23.48226,7.06
23.490765,7.35
23.499181,7.43
23.507839,7.22
23.516155,7.52
23.524808,7.22
23.530076,11.86
23.538984,7.02
23.547524,7.32
23.55893,5.48
23.567283,7.48
23.576013,7.16
23.584199,7.63
23.589702,11.36
23.597709,7.81
23.606249,7.32
23.617603,5.5
23.62554,7.87
23.630976,11.5
23.641993,5.67
23.647502,11.34
23.65821,5.84
23.66362,11.55
23.671962,7.49
23.679878,7.9
23.688414,7.32
23.696926,7.34
23.708357,5.47
23.716028,8.15
23.721554,11.31
23.72955,7.82
23.737827,7.55
23.74635,7.33
23.754452,7.71
23.762619,7.65
23.77367,5.66
