Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
760.612296864,0.1182,-0.3135,0.9556,-18.04,-6.663,31.256,0.0,0.0,0.0,-17699,3587,-2401
760.712296898,0.1172,-0.3115,0.96,-18.04,-6.663,31.256,0.0,0.0,0.0,-17664,3615,-2350
760.812297024,0.1152,-0.3115,0.959,-18.04,-6.663,31.256,0.0,0.0,0.0,-17674,3632,-2370
760.912297131,0.1235,-0.3149,0.957,-18.04,-6.658,31.256,0.0,0.0,0.0,-17685,3612,-2357
761.012297164,0.1138,-0.3076,0.9531,-18.04,-6.658,31.251,0.0,0.2441,0.0,-17674,3606,-2356
761.11229729,0.1182,-0.3218,0.9614,-18.045,-6.652,31.251,0.0,-0.061,0.0,-17689,3637,-2354
761.212297398,0.1196,-0.2979,0.9565,-18.045,-6.641,31.245,0.061,0.2441,0.0,-17670,3627,-2366
761.312297431,0.1177,-0.3228,0.9614,-18.051,-6.625,31.24,-0.2441,0.0,0.0,-17678,3634,-2371
761.412297464,0.1196,-0.3032,0.9521,-18.051,-6.63,31.245,0.1831,0.061,0.0,-17675,3621,-2367
761.512297479,0.1152,-0.3149,0.9644,-18.056,-6.63,31.24,-0.2441,0.1221,0.0,-17668,3634,-2361
761.612297494,0.1177,-0.3169,0.9507,-18.056,-6.625,31.24,0.1221,-0.061,0.0,-17671,3625,-2367
761.712297749,0.1147,-0.3037,0.9663,-18.062,-6.63,31.24,-0.061,0.0,0.0,-17674,3619,-2369
761.81229782,0.123,-0.313,0.9619,-18.067,-6.603,31.256,0.0,-0.061,0.1831,-17677,3609,-2379
761.912301575,0.124,-0.3125,0.9512,-18.062,-6.608,31.251,-0.1221,0.1221,-0.061,-17682,3610,-2356
762.012305886,0.1123,-0.3096,0.9648,-18.073,-6.592,31.262,0.061,0.4272,0.3052,-17681,3605,-2365
762.112305957,0.1113,-0.3149,0.9526,-18.073,-6.586,31.267,-0.1831,-0.1831,-0.1221,-17687,3607,-2374
762.21230599,0.1206,-0.312,0.9565,-18.073,-6.592,31.267,0.1831,0.0,0.1831,-17712,3581,-2359
762.31230606,0.1196,-0.3091,0.9634,-18.078,-6.586,31.278,-0.1831,0.061,-0.061,-17706,3582,-2372
762.412306094,0.1162,-0.3164,0.9546,-18.073,-6.592,31.267,0.061,-0.061,0.0,-17681,3597,-2360
762.512307608,0.1187,-0.3076,0.957,-18.073,-6.592,31.278,-0.061,0.1221,0.1221,-17682,3601,-2383
762.61230792,0.1182,-0.3159,0.9614,-18.078,-6.592,31.278,0.0,0.0,0.0,-17680,3599,-2380
762.712308008,0.1172,-0.3081,0.9478,-18.073,-6.597,31.278,0.0,0.061,0.0,-17696,3594,-2394
762.812308116,0.1182,-0.3145,0.9673,-18.083,-6.592,31.273,0.0,0.2441,0.0,-17698,3621,-2385
762.912308242,0.1138,-0.3081,0.9507,-18.078,-6.586,31.267,-0.061,0.0,0.0,-17679,3619,-2376
763.012308349,0.1177,-0.3184,0.9624,-18.078,-6.586,31.267,0.061,0.061,0.0,-17672,3634,-2384
763.112308438,0.1172,-0.3027,0.9556,-18.078,-6.586,31.267,-0.061,-0.061,0.0,-17676,3638,-2365
763.212308453,0.1162,-0.3218,0.9526,-18.073,-6.586,31.267,0.0,0.061,0.3052,-17658,3636,-2342
763.312308505,0.1167,-0.3071,0.9609,-18.078,-6.575,31.295,0.0,0.0,0.061,-17670,3613,-2356
763.412308538,0.1211,-0.313,0.9575,-18.083,-6.586,31.289,-0.1221,0.061,0.0,-17691,3595,-2363
763.512308627,0.1152,-0.3154,0.9521,-18.083,-6.575,31.295,0.0,0.1221,0.0,-17708,3594,-2389
763.612308641,0.1196,-0.3076,0.9629,-18.089,-6.581,31.289,-0.061,-0.061,0.0,-17694,3601,-2393
763.71230873,0.1177,-0.314,0.9497,-18.083,-6.575,31.295,0.0,0.2441,0.1221,-17703,3609,-2370
763.812308856,0.1167,-0.3135,0.958,-18.083,-6.581,31.295,0.0,0.0,0.0,-17692,3625,-2377
763.912308945,0.1133,-0.3066,0.958,-18.083,-6.581,31.289,0.0,0.0,0.0,-17683,3623,-2361
764.012308978,0.1216,-0.3188,0.9521,-18.078,-6.575,31.289,-0.061,0.0,0.0,-17673,3632,-2362
764.112309049,0.1167,-0.3052,0.958,-18.089,-6.586,31.289,0.0,0.061,0.0,-17659,3635,-2355
764.212309119,0.1138,-0.3115,0.957,-18.083,-6.564,31.3,-0.061,0.0,0.2441,-17670,3604,-2359
764.312309134,0.127,-0.3135,0.957,-18.089,-6.564,31.306,0.0,0.0,-0.061,-17681,3599,-2374
764.412309167,0.1172,-0.3052,0.9561,-18.089,-6.57,31.306,0.0,0.3052,0.061,-17711,3591,-2324
764.512309274,0.1104,-0.3203,0.959,-18.089,-6.575,31.3,0.0,-0.061,-0.1831,-17679,3613,-2392
764.612309289,0.1187,-0.3071,0.9541,-18.083,-6.581,31.295,0.0,0.061,0.1831,-17688,3619,-2384
764.71230936,0.1221,-0.3159,0.9663,-18.089,-6.564,31.306,-0.061,0.061,0.0,-17679,3611,-2376
764.812309448,0.1118,-0.3096,0.9517,-18.089,-6.57,31.3,0.061,0.1221,0.0,-17664,3645,-2367
764.9123095,0.1167,-0.3125,0.9585,-18.089,-6.57,31.3,-0.061,0.061,0.0,-17665,3641,-2358
765.012309533,0.1147,-0.312,0.9551,-18.089,-6.57,31.3,0.0,-0.061,0.0,-17657,3607,-2355
765.112309604,0.1201,-0.3125,0.959,-18.083,-6.57,31.3,0.0,-0.061,0.0,-17692,3597,-2364
765.212309637,0.1226,-0.3096,0.96,-18.083,-6.57,31.3,0.0,0.061,0.0,-17692,3592,-2382
765.312309744,0.1162,-0.3145,0.9556,-18.083,-6.575,31.295,-0.1221,0.1221,0.0,-17717,3608,-2387
765.412309778,0.1172,-0.3125,0.959,-18.083,-6.575,31.295,0.061,0.1221,0.0,-17719,3604,-2372
765.512309848,0.1167,-0.3115,0.958,-18.089,-6.575,31.295,-0.1221,0.0,0.0,-17697,3619,-2384
765.612309863,0.1182,-0.314,0.9585,-18.083,-6.575,31.289,0.0,0.061,0.0,-17689,3633,-2389
765.712309877,0.1201,-0.3096,0.96,-18.089,-6.575,31.289,-0.061,0.0,0.0,-17696,3634,-2382
765.812309985,0.1196,-0.314,0.958,-18.083,-6.581,31.289,0.0,0.1831,0.0,-17686,3640,-2372
765.912310074,0.1157,-0.311,0.9585,-18.083,-6.581,31.289,0.0,0.0,0.0,-17664,3612,-2360
766.012315533,0.1172,-0.311,0.9604,-18.083,-6.586,31.289,0.0,0.061,0.0,-17687,3602,-2335
766.112315622,0.1182,-0.3145,0.9546,-18.078,-6.581,31.284,-0.061,0.0,0.0,-17714,3599,-2365
766.212315655,0.1182,-0.311,0.96,-18.083,-6.586,31.284,0.0,0.0,0.0,-17704,3593,-2387
766.312315762,0.1167,-0.312,0.957,-18.078,-6.581,31.284,-0.061,0.061,0.0,-17713,3601,-2409
766.412315888,0.1172,-0.313,0.9565,-18.083,-6.586,31.284,0.0,0.0,0.0,-17708,3602,-2396
766.512315959,0.1182,-0.3091,0.9565,-18.078,-6.586,31.278,0.0,0.061,0.0,-17693,3619,-2398
766.612316029,0.1182,-0.314,0.9575,-18.078,-6.592,31.278,0.0,0.0,0.0,-17693,3630,-2368
766.712316062,0.1162,-0.3091,0.9546,-18.078,-6.597,31.278,0.0,0.0,0.0,-17676,3630,-2398
766.812316132,0.1201,-0.313,0.9585,-18.078,-6.597,31.278,0.0,0.0,0.0,-17677,3641,-2383
766.912316277,0.1211,-0.3101,0.9531,-18.073,-6.603,31.278,0.0,0.0,0.0,-17685,3637,-2380
767.012316292,0.1221,-0.3101,0.9609,-18.073,-6.597,31.278,0.061,0.1831,0.0,-17663,3628,-2380
767.112316306,0.1143,-0.311,0.9556,-18.067,-6.603,31.278,-0.061,0.0,0.0,-17668,3640,-2366
767.212316432,0.1157,-0.3154,0.957,-18.067,-6.614,31.278,0.061,0.0,0.0,-17674,3622,-2352
767.312316558,0.1152,-0.3086,0.959,-18.062,-6.608,31.278,0.0,-0.061,0.0,-17690,3611,-2366
767.412318295,0.1211,-0.3149,0.9604,-18.062,-6.614,31.278,0.061,0.0,0.0,-17713,3587,-2389
767.512318328,0.1182,-0.3096,0.9575,-18.056,-6.614,31.278,0.0,0.061,0.0,-17714,3582,-2373
767.612318436,0.1162,-0.3145,0.9609,-18.056,-6.619,31.278,0.0,0.0,0.0,-17717,3584,-2375
767.712318487,0.1167,-0.3105,0.9551,-18.051,-6.619,31.278,0.0,0.0,0.0,-17713,3588,-2382
767.812318539,0.1196,-0.3145,0.9619,-18.051,-6.625,31.278,0.0,-0.061,0.0,-17715,3618,-2401
767.912318665,0.1162,-0.3096,0.9585,-18.051,-6.625,31.278,0.0,-0.1221,0.0,-17700,3617,-2402
768.01231868,0.1221,-0.3145,0.9609,-18.045,-6.641,31.284,0.0,-0.1221,0.0,-17707,3615,-2383
768.112325972,0.1172,-0.3091,0.9575,-18.045,-6.641,31.284,0.061,0.1221,0.0,-17712,3617,-2372
768.21232608,0.1157,-0.3164,0.959,-18.045,-6.647,31.284,0.0,-0.1831,0.0,-17693,3619,-2384
768.312329205,0.1177,-0.3091,0.9556,-18.04,-6.658,31.289,0.061,-0.061,0.0,-17686,3621,-2379
