Time,RawValue1,RawValue2
3.000467,16496,16000
3.002688,16496,15984
3.004358,16480,16000
3.006026,16496,16032
3.007696,16480,15984
3.009365,16496,16016
3.011064,16480,15984
3.012734,16464,15984
3.014404,16496,16016
3.016071,16496,16000
3.017941,16464,16016
3.019611,16480,16016
3.021301,16496,15984
3.02297,16496,16016
3.024638,16496,16000
3.026308,16480,16016
3.027976,16496,16016
3.029646,16480,16016
3.031324,16480,16016
3.032993,16512,15984
3.034836,16512,16032
3.036504,16496,16032
3.038173,16496,15984
3.039843,16448,16000
3.041526,16432,16016
3.043528,16464,16032
3.045212,16480,16016
3.046883,16480,16016
3.04855,16496,16016
3.050222,16496,16016
3.052137,16496,16016
3.053812,16496,16016
3.055486,16496,15952
3.057155,16480,16016
3.058826,16512,16016
3.060493,16496,16016
3.062172,16512,16016
3.06384,16480,16000
3.065518,16496,16016
3.067188,16480,16016
3.069023,16480,16000
3.070694,16496,16032
3.072369,16480,15968
3.074037,16496,16000
3.075708,16496,16016
3.077379,16496,16016
3.079046,16480,16032
3.080713,16496,16016
3.082382,16480,16016
3.084051,16480,16000
3.085875,16480,16000
3.087546,16496,16016
3.089216,16512,15984
3.090884,16480,16016
3.092554,16480,16016
3.094224,16480,16000
3.095896,16448,16016
3.097566,16496,16016
3.099233,16496,16000
3.100902,16496,16016
3.102737,16480,16000
3.104408,16496,16000
3.106078,16480,16016
3.107748,16512,16000
3.109417,16496,16000
3.111085,16448,16000
3.112754,16464,16016
3.114425,16496,16016
3.116092,16496,15968
3.117759,16496,16016
3.119537,16496,16000
3.121206,16496,16032
3.122874,16496,16016
3.124543,16448,16000
3.126212,16496,16016
3.127882,16480,16016
3.129549,16496,16016
3.131219,16480,16016
3.132889,16496,16016
3.134559,16496,16016
3.13635,16528,16000
3.138021,16480,16016
3.139689,16480,16016
3.141359,16496,16016
3.14303,16480,16016
3.144698,16512,16000
3.146365,16512,16000
3.148035,16512,16000
3.149705,16512,16000
3.151375,16496,15984
3.153185,16480,16016
3.154855,16512,16016
3.156525,16480,16032
3.158196,16480,16000
3.159864,16496,16016
3.161532,16464,16016
3.163204,16512,15984
3.164871,16496,16016
3.166538,16512,16016
3.168205,16496,16016
3.169899,16480,15984
3.171567,16496,16000
3.173234,16480,16000
3.174905,16496,16016
3.176576,16432,15984
3.178244,16496,16016
3.179913,16512,16000
3.181584,16496,16000
3.183252,16480,16016
3.184922,16496,16016
3.186736,16496,16016
3.188404,16496,16000
3.190072,16496,16000
3.191741,16480,16016
3.193409,16480,16000
3.195082,16480,16000
3.196749,16496,16032
3.198416,16496,16032
3.200084,16480,15984
3.201753,16496,15968
3.203567,16496,16016
3.205237,16480,16000
3.206905,16480,16016
3.208575,16496,16016
3.210243,16496,16016
3.211912,16496,16032
3.213579,16464,16000
3.21525,16464,16016
3.21692,16512,15984
3.218589,16496,16016
