Time,Raw Value,Voltage
983.323282686,0,0
983.327232819,672,0.082
983.330604618,672,0.084
983.333944492,672,0.082
983.340223386,656,0.082
983.345875761,672,0.084
983.349626098,672,0.082
983.353132267,656,0.084
983.356567085,656,0.084
983.359727328,656,0.082
983.362901868,656,0.082
983.366071612,672,0.082
983.369228003,672,0.086
983.37238871,672,0.084
983.375544731,688,0.086
983.37870603,672,0.082
983.381873607,672,0.084
983.38500835,672,0.084
983.388152649,656,0.086
983.391399781,672,0.082
983.394605451,672,0.082
983.397736231,672,0.084
983.400869808,656,0.084
983.403999033,672,0.082
983.407149128,672,0.082
983.410303631,672,0.082
983.413446985,656,0.084
983.416585025,672,0.084
983.419724935,672,0.082
983.422847586,688,0.082
983.425982441,672,0.084
983.429236388,672,0.082
983.432359242,656,0.084
983.435495226,672,0.084
983.44092225,656,0.082
983.447956459,656,0.084
983.451708925,672,0.084
983.454834502,656,0.084
983.45795919,656,0.084
983.461095137,656,0.084
983.464227547,672,0.082
983.467321328,672,0.084
983.470573923,672,0.082
983.473706574,656,0.084
983.476796762,688,0.084
983.479919598,672,0.084
983.483054193,656,0.084
983.486163529,656,0.084
983.489298976,656,0.084
983.492437108,672,0.084
983.495576,672,0.082
983.498698688,672,0.084
983.501816283,672,0.082
983.50494873,672,0.084
983.508180622,656,0.084
983.511294421,688,0.084
983.514397331,672,0.084
983.517504611,672,0.082
983.520616188,672,0.084
983.523737246,672,0.084
983.526859397,656,0.084
983.529976344,672,0.084
983.533087291,672,0.082
983.539930186,656,0.082
983.546840544,672,0.084
983.550546195,656,0.084
983.553775161,672,0.082
983.556887571,672,0.084
983.560007055,672,0.084
983.563135928,672,0.082
983.566239579,672,0.082
983.569354192,672,0.084
983.572454806,656,0.082
983.575564698,672,0.084
983.578660219,672,0.082
983.581779333,672,0.084
983.584892076,672,0.084
983.588016875,672,0.082
983.591238378,656,0.084
983.594427251,656,0.084
983.59753642,672,0.084
983.60066683,672,0.084
983.603788092,672,0.082
983.606905632,656,0.082
983.610035968,672,0.084
983.613153934,656,0.084
983.616254547,656,0.084
983.619399883,656,0.086
983.622535664,672,0.082
983.625758518,672,0.084
983.628875206,656,0.084
983.631987394,672,0.082
983.635109341,672,0.084
983.641848532,688,0.084
983.647932741,672,0.082
983.651638059,672,0.082
983.654745691,672,0.082
983.65785049,656,0.082
983.660968326,672,0.086
983.664091162,672,0.082
983.667207498,656,0.084
983.670439112,672,0.082
983.673554022,656,0.084
983.676661747,688,0.084
983.679777157,672,0.082
983.682873123,672,0.084
983.685975736,656,0.082
983.689073313,672,0.082
983.692212982,672,0.084
983.695344281,672,0.082
983.698464729,672,0.084
983.701581657,672,0.084
983.704692586,672,0.084
983.707938014,656,0.084
983.711044943,688,0.084
983.71415652,672,0.084
983.717294041,672,0.082
983.720428895,672,0.084
983.723547028,672,0.082
983.726676216,688,0.084
983.729792552,656,0.082
983.738861411,656,0.082
983.74487862,656,0.086
983.748579531,672,0.084
983.752030145,672,0.082
983.755174203,656,0.084
983.758324187,672,0.084
983.761460264,672,0.082
983.764600415,672,0.082
983.767728195,656,0.086
983.770848513,688,0.084
983.773972589,656,0.084
983.777083499,672,0.082
983.780195983,672,0.082
983.783304653,656,0.082
983.7864336,672,0.082
983.789679992,672,0.084
983.792820902,656,0.082
983.796023608,656,0.084
983.799172222,656,0.084
983.802334651,688,0.082
983.805489135,672,0.084
983.808637952,672,0.082
983.811792085,672,0.086
983.814936069,688,0.084
983.818077238,672,0.084
983.821221407,640,0.084
983.824372984,656,0.084
983.827638246,672,0.084
983.830777693,688,0.082
983.83792744,672,0.08
983.844896576,672,0.082
983.848601875,656,0.084
983.851722711,672,0.082
983.854846751,672,0.084
983.857974031,672,0.084
983.861125201,672,0.084
983.864252481,656,0.084
983.867387076,672,0.084
983.870532283,672,0.082
983.873786471,672,0.084
983.876902492,672,0.084
983.880023383,672,0.084
983.883170238,672,0.084
983.886318352,672,0.082
983.889463558,656,0.082
983.89260295,672,0.084
983.895759064,672,0.084
983.898903492,672,0.084
983.90203868,656,0.082
983.905174701,656,0.084
983.908441723,672,0.084
983.911572522,672,0.084
983.914720543,656,0.082
983.91787286,688,0.084
983.9209899,672,0.086
983.924102866,672,0.082
983.927218405,672,0.082
983.930350223,672,0.084
983.938892971,672,0.084
983.945222754,656,0.084
983.948987368,672,0.084
983.952129445,656,0.082
983.955389577,672,0.084
983.958509895,672,0.082
983.961618805,672,0.082
983.964756104,672,0.086
983.967907958,672,0.084
983.971053109,672,0.082
983.974191353,688,0.082
983.977341281,656,0.084
983.980471432,656,0.084
983.983598787,656,0.082
983.98672616,688,0.084
983.989846644,672,0.084
983.993092813,656,0.082
983.99624939,656,0.084
983.999402337,672,0.082
984.002537507,672,0.082
984.005662824,672,0.084
984.008814419,672,0.084
984.011967552,656,0.084
984.015114851,672,0.082
984.018250501,656,0.084
984.021420689,656,0.082
984.024553433,672,0.084
984.027678417,656,0.084
984.03092492,656,0.082
984.038879982,672,0.084
984.04488608,672,0.084
984.048635768,656,0.084
984.051786697,656,0.082
984.054932514,672,0.082
984.058098202,656,0.082
984.061239816,672,0.084
984.06438593,656,0.084
984.067542803,672,0.086
984.070710028,656,0.082
984.073981938,656,0.084
984.077111385,656,0.082
984.080253258,672,0.084
984.083372761,656,0.084
984.086508393,656,0.084
984.089618173,656,0.084
984.092751676,656,0.084
984.095907179,672,0.084
984.099029922,672,0.084
984.102154351,672,0.082
984.105307557,672,0.082
984.108444393,656,0.082
984.111675063,656,0.082
984.114830547,656,0.08
984.117948661,672,0.084
984.121081423,656,0.084
984.124220944,672,0.084
984.12734978,656,0.084
984.130486986,672,0.082
984.138025678,704,0.082
984.144878313,672,0.082
984.148365353,672,0.082
984.151502671,672,0.084
984.154645988,672,0.082
984.15789951,656,0.084
984.161027271,656,0.084
984.164157107,672,0.084
984.167286647,672,0.084
984.170397279,672,0.084
984.173528004,656,0.084
984.176655137,672,0.084
984.179771232,672,0.082
984.182884235,672,0.084
984.185994274,656,0.084
984.189120407,672,0.082
984.192352002,672,0.082
984.195494208,688,0.084
984.198633748,656,0.082
984.201752751,672,0.084
984.204892605,672,0.084
984.208031052,672,0.084
984.211150666,656,0.084
984.214288965,656,0.082
984.217424005,672,0.084
984.220562544,672,0.084
984.223684751,672,0.084
984.226813179,672,0.08
984.230084201,672,0.082
984.237916041,672,0.084
984.244871824,672,0.084
984.248588494,656,0.082
984.251744275,672,0.082
984.254880444,672,0.082
984.25801778,672,0.084
984.261149561,672,0.084
984.264297063,672,0.084
984.267428733,656,0.084
984.270551902,672,0.086
984.273713405,656,0.084
984.276962907,672,0.082
984.280084225,672,0.084
984.283209024,656,0.082
984.28633899,688,0.084
984.289468974,656,0.084
984.292589939,672,0.084
984.295780609,672,0.082
