Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
233.418612149,-0.0781,0.0479,0.9819,,,,,,,-10561,5569,-457
233.51861217,-0.0225,0.0806,1.1147,2.45,2.098,42.248,-0.9766,-0.7935,0.3662,-10558,5574,-437
233.618612247,-0.0488,0.0708,1.0806,2.455,2.098,42.275,-0.3052,-0.8545,0.5493,-10544,5600,-423
233.718612268,-0.0659,0.0557,1.0073,2.444,2.098,42.297,-1.0376,-1.0986,0.3662,-10502,5648,-418
233.81861229,-0.0786,0.0659,0.9482,2.45,2.098,42.308,-0.9155,-0.7324,0.4883,-10469,5696,-455
233.918612381,-0.0776,0.0029,0.9575,2.45,2.115,42.341,-0.4272,-0.4272,0.1831,-10471,5725,-455
234.018612445,-0.0576,0.0586,1.0391,2.444,2.12,42.352,-0.2441,-0.1221,0.0,-10472,5707,-452
234.118612546,-0.0396,0.0479,1.0708,2.45,2.12,42.369,0.1221,-0.7324,0.2441,-10513,5660,-414
234.21861261,-0.0786,0.0522,0.9814,2.439,2.109,42.385,-0.4272,-1.3428,0.2441,-10533,5633,-400
234.318612637,-0.0811,0.0171,0.9644,2.439,2.115,42.396,-0.7324,-0.4272,0.1831,-10530,5609,-397
234.418612682,-0.0728,0.0264,0.9229,2.439,2.126,42.418,-0.5493,-0.7324,0.4272,-10539,5618,-409
234.518615024,-0.0874,0.0342,0.938,2.444,2.137,42.451,-0.1221,-0.4883,0.1221,-10518,5635,-423
234.61861505,-0.082,0.041,0.9263,2.455,2.126,42.468,-0.1221,-0.5493,0.061,-10504,5689,-451
234.718615151,-0.0674,0.0371,0.9624,2.455,2.142,42.484,0.1221,-0.2441,0.0,-10485,5717,-441
234.818615178,-0.0786,0.0444,0.9214,2.45,2.137,42.506,-0.1831,-0.6104,0.1831,-10492,5720,-442
234.918615219,-0.0884,0.0381,0.9868,2.45,2.142,42.523,0.061,0.0,0.0,-10521,5711,-443
235.018615308,-0.0942,0.0469,0.9282,2.422,2.148,42.545,-0.1221,-0.061,0.061,-10540,5651,-421
