Time,PulseCounts
17000.976624144,1
17001.120920702,2
17001.193476176,3
17001.276192742,4
17001.312055922,5
17001.355082035,6
17001.497109603,7
17001.53342747,8
17001.566964716,9
17001.636908793,10
17001.775997999,11
17001.857887321,12
17001.889773617,13
17001.920364928,14
17002.105273849,15
17002.387918536,16
17002.539899528,17
17002.621715701,18
17002.667541139,19
17002.737681827,20
17002.856875687,21
17003.017415153,22
17003.140498618,23
17003.219100132,24
17003.283197966,25
17003.362110074,26
17003.467545719,27
17003.606890945,28
17003.656281784,29
17003.706976849,30
17003.78841104,31
17003.937082539,32
17004.066838324,33
17004.263030636,34
17004.348221933,35
17004.57634756,36
17004.728485849,37
17004.828627346,38
17004.928021118,39
17004.998170103,40
17005.065953302,41
17005.153561237,42
17005.251534541,43
17005.349015621,44
17005.423053656,45
17005.510351775,46
17005.59472831,47
17005.694870047,48
17005.783931746,49
17005.862178926,50
17005.92878738,51
17006.008153935,52
17006.075283465,53
17006.139129983,54
17006.230315856,55
17006.543161594,56
17006.604546919,57
17006.749798258,58
17006.815841303,59
17006.946913871,60
17006.980920082,61
17007.057508496,62
17007.10849947,63
17007.20369545,64
17007.260229573,65
17007.332467306,66
17007.449628084,67
17007.568777277,68
17007.688837566,69
17007.77719904,70
17007.882642797,71
17008.026551131,72
17008.150257544,73
17008.189374624,74
17008.249270722,75
17008.338220772,76
17008.404319132,77
17008.476193827,78
17008.545115456,79
17008.627731355,80
17008.713050078,81
17008.815918196,82
17008.907538182,83
17008.965485476,84
17009.034435087,85
17009.108871476,86
17009.21525981,87
17009.289826866,88
17009.352612918,89
17009.406718754,90
17009.469369862,91
17009.555272772,92
17009.636131795,93
17009.711140871,94
17009.786967931,95
17009.867067118,96
17009.926728122,97
17009.983224523,98
17010.051387242,99
17010.124554034,100
17010.235983718,101
17010.353272534,102
17010.386318502,103
17010.432366606,104
17010.48173826,105
17010.528842961,106
17010.596050158,107
17010.642621284,108
17010.706095042,109
17010.751458015,110
17010.801284726,111
17011.092027906,112
17011.142749268,113
17011.216657488,114
17011.28787794,115
17011.408955973,116
