Time,RawValue1,RawValue2
0.488244,16256,26416
0.489913,16240,26416
0.491584,16240,26416
0.493253,16208,26400
0.494922,16240,26480
0.496589,16256,26416
0.498256,16224,26416
0.499924,16208,26448
0.501594,16224,26432
0.503262,16240,26400
0.505082,16272,26448
0.506749,16240,26432
0.508418,16224,26432
0.510085,16224,26448
0.511753,16256,26416
0.513421,16240,26432
0.515089,16256,26432
0.516757,16272,26448
0.518424,16240,26416
0.520095,16240,26432
0.521897,16256,26432
0.523568,16240,26432
0.525238,16256,26432
0.526906,16240,26400
0.528577,16240,26432
0.530244,16224,26432
0.531915,16224,26432
0.533584,16224,26432
0.535252,16256,26416
0.536921,16272,26416
0.538713,16272,26400
0.540381,16224,26432
0.542052,16240,26400
0.543719,16240,26416
0.545388,16256,26448
0.54706,16224,26416
0.548727,16256,26384
0.550396,16208,26432
0.552063,16240,26432
0.553732,16240,26432
0.555547,16256,26432
0.557215,16208,26432
0.558884,16240,26432
0.560554,16240,26400
0.562223,16256,26432
0.563893,16240,26416
0.565562,16224,26416
0.56723,16240,26432
0.568899,16224,26432
0.570568,16208,26432
0.57236,16240,26432
0.574027,16240,26432
0.575696,16224,26448
0.577367,16272,26416
0.579036,16240,26464
0.580705,16240,26432
0.582376,16240,26400
0.584046,16240,26400
0.585717,16256,26432
0.587387,16224,26432
0.589178,16240,26448
0.590845,16256,26416
0.592512,16256,26416
0.594181,16224,26432
0.595848,16240,26432
0.597518,16224,26464
0.599185,16240,26416
0.600854,16256,26416
0.602525,16240,26400
0.604196,16240,26400
0.606021,16256,26416
0.607692,16240,26416
0.609359,16240,26416
0.611028,16256,26432
0.612696,16256,26416
0.614366,16272,26448
0.616035,16224,26400
0.617706,16256,26448
0.619376,16240,26416
0.621044,16240,26432
0.622834,16256,26416
0.624504,16256,26432
0.626173,16272,26400
0.627843,16240,26416
0.629509,16224,26432
0.631178,16256,26416
0.632849,16240,26400
0.634516,16208,26416
0.636187,16224,26432
0.637858,16256,26432
0.639647,16240,26416
0.641316,16256,26464
0.642986,16272,26416
0.644656,16240,26416
0.646323,16256,26432
0.64799,16208,26448
0.64966,16256,26416
0.651327,16192,26448
0.652997,16256,26432
0.654667,16240,26432
0.656492,16256,26400
0.658163,16208,26416
0.659833,16256,26432
0.661503,16208,26432
0.663173,16240,26480
0.664843,16256,26416
0.666509,16256,26432
0.668179,16256,26416
0.669846,16224,26448
0.671513,16256,26432
0.673312,16256,26432
0.674982,16240,26432
0.676651,16240,26448
0.678322,16208,26432
0.67999,16208,26400
0.68166,16288,26464
0.683331,16256,26416
0.684998,16240,26416
0.686669,16272,26432
0.688336,16240,26384
0.690132,16256,26448
0.691803,16224,26416
0.69347,16240,26480
0.695139,16208,26432
0.696809,16272,26432
0.698479,16256,26448
0.700149,16240,26432
0.701818,16240,26416
0.703488,16224,26432
0.705158,16208,26432
0.706982,16272,26416
0.708652,16192,26432
0.710322,16256,26416
0.711991,16208,26432
0.713659,16256,26448
0.715329,16240,26432
0.716996,16272,26432
0.718664,16240,26432
0.720334,16240,26400
0.722004,16208,26432
0.723795,16256,26432
0.725465,16256,26432
0.727132,16240,26400
