Time,Frequency
0.026934,2.3205
0.034289,1.8227
0.024463,2.5549
0.030606,2.0421
0.024375,2.5641
0.031838,1.9631
0.025169,2.4832
0.0334,1.8712
0.026377,2.3695
0.034922,1.7897
0.026514,2.3573
0.032292,1.9355
0.022407,2.7893
0.029,2.1552
0.022678,2.756
0.029505,2.1183
0.02298,2.7197
0.030053,2.0797
0.023482,2.6616
0.03058,2.0438
0.023888,2.6163
0.031226,2.0015
0.024123,2.5909
0.031666,1.9738
0.02474,2.5263
0.032552,1.92
0.024902,2.5099
0.031893,1.9597
0.024432,2.5581
0.030432,2.0537
0.023619,2.6462
0.030901,2.0226
0.024231,2.5793
0.031941,1.9567
0.024967,2.5033
0.032614,1.9164
0.025363,2.4643
0.032886,1.9005
0.024922,2.5078
0.032176,1.9424
0.024994,2.5006
0.032289,1.9357
0.025168,2.4833
0.031767,1.9674
0.024458,2.5554
0.030219,2.0682
0.021376,2.9239
0.02776,2.2515
0.021791,2.8682
0.029034,2.1527
0.023358,2.6758
0.030722,2.0344
0.02433,2.5689
0.032046,1.9503
0.024835,2.5166
0.03204,1.9507
0.023521,2.6572
0.030666,2.0381
0.023614,2.6468
0.030612,2.0417
0.024058,2.5978
0.031384,1.9915
0.024505,2.5505
0.032036,1.9509
0.024995,2.5005
0.032282,1.9361
0.025115,2.4886
0.032152,1.9439
0.02475,2.5252
0.03251,1.9225
0.024761,2.5242
0.032466,1.9251
0.02419,2.5837
0.030032,2.0811
0.023008,2.7164
0.029268,2.1355
0.023069,2.7092
0.030048,2.08
0.023638,2.6441
0.030934,2.0204
0.024254,2.5769
0.031944,1.9565
0.024506,2.5504
0.032254,1.9377
0.024388,2.5628
0.03009,2.0771
0.022865,2.7334
0.028252,2.2123
0.021885,2.8558
0.028786,2.1712
0.02223,2.8116
0.029272,2.1352
0.022727,2.75
0.030091,2.0771
0.023823,2.6235
0.031853,1.9621
0.025498,2.4512
0.033488,1.8663
0.026034,2.4007
0.03203,1.9513
0.024447,2.5566
0.030532,2.0471
0.023802,2.6258
0.031369,1.9924
0.024414,2.56
0.031783,1.9665
0.023769,2.6295
0.03044,2.0532
0.023881,2.6171
0.030165,2.0719
0.023622,2.6459
0.029607,2.111
0.022839,2.7366
0.029984,2.0845
0.023568,2.6519
0.030553,2.0456
0.024105,2.5928
0.031585,1.9788
0.024563,2.5444
0.031768,1.9674
0.024306,2.5714
0.030307,2.0622
0.023298,2.6826
0.03036,2.0587
0.023925,2.6124
0.031061,2.0122
0.023564,2.6524
0.030108,2.0758
0.023335,2.6784
0.030519,2.0479
0.023971,2.6073
0.031153,2.0062
0.024461,2.5551
0.032061,1.9494
0.024658,2.5346
0.031132,2.0076
0.02302,2.715
0.029917,2.0891
0.023063,2.7099
0.030064,2.0789
0.023643,2.6434
0.030984,2.0172
0.024725,2.5278
0.032702,1.9112
0.02587,2.4159
0.034265,1.824
0.026882,2.3249
0.033238,1.8804
0.022579,2.7681
0.02909,2.1485
0.023133,2.7018
0.028976,2.1569
0.023114,2.704
0.030194,2.07
0.023615,2.6466
0.030877,2.0242
0.024388,2.5628
0.03198,1.9544
0.025243,2.4759
0.033254,1.8795
0.026048,2.3994
0.034111,1.8323
0.026047,2.3995
0.032267,1.937
0.021776,2.8701
0.027004,2.3145
0.021255,2.9405
0.027932,2.2376
0.022837,2.7368
0.030644,2.0395
0.024207,2.5819
0.031818,1.9643
0.025264,2.4739
0.032835,1.9034
0.025092,2.4908
0.029772,2.0993
0.021602,2.8933
0.027741,2.253
0.021803,2.8665
0.028359,2.2039
0.022489,2.7792
0.029833,2.095
0.023343,2.6774
0.031182,2.0044
0.02464,2.5365
0.033268,1.8787
0.026405,2.367
0.034407,1.8165
0.02694,2.3199
0.03365,1.8574
0.026014,2.4025
0.030714,2.0349
0.023794,2.6267
0.031072,2.0115
0.024411,2.5603
0.03166,1.9741
0.024914,2.5087
0.032429,1.9273
0.0229,2.7293
0.028646,2.1818
0.022468,2.7817
0.029357,2.129
0.023022,2.7148
0.030675,2.0375
0.024585,2.5422
0.033504,1.8655
0.026554,2.3537
0.034764,1.7979
0.025806,2.4219
0.031636,1.9756
0.024016,2.6024
0.030314,2.0618
0.02394,2.6107
0.031085,2.0106
0.023985,2.6058
0.030135,2.074
0.022636,2.7611
0.02954,2.1158
0.022475,2.7809
0.029254,2.1365
0.023028,2.7141
0.030291,2.0633
0.024275,2.5746
0.031872,1.961
0.025405,2.4602
0.03351,1.8651
0.026272,2.379
0.034214,1.8268
0.026728,2.3383
0.03397,1.8399
0.02589,2.4141
0.032825,1.904
0.02596,2.4075
0.033992,1.8387
0.026507,2.3578
0.034671,1.8027
0.027323,2.2875
0.035627,1.7543
0.028074,2.2262
0.036766,1.7
0.028878,2.1643
0.037878,1.65
0.029873,2.0922
0.038773,1.6119
0.029289,2.1339
0.037986,1.6453
0.029168,2.1428
0.038743,1.6132
0.030258,2.0655
0.039987,1.563
0.031447,1.9875
0.041024,1.5235
0.032287,1.9358
0.041884,1.4922
0.033728,1.8531
0.045697,1.3677
