Time,Frequency
15.689339,0.0069
15.728533,1.5946
15.771212,1.4644
15.806048,1.7941
15.849415,1.4412
15.884874,1.7626
15.929328,1.4059
15.966789,1.6684
16.011946,1.3841
16.048712,1.6999
16.093616,1.3918
16.131798,1.6369
16.180644,1.2795
16.21953,1.6073
16.265865,1.3489
16.30284,1.6904
16.348609,1.3655
16.384432,1.7447
16.428442,1.4201
16.46337,1.7894
16.506553,1.4473
16.54209,1.7587
16.58505,1.4548
16.620574,1.7594
16.666832,1.3511
16.706324,1.5826
16.754644,1.2935
16.790124,1.7615
16.835762,1.3695
16.875944,1.5554
16.925291,1.2665
16.963386,1.6406
17.006474,1.4505
17.042939,1.714
17.08936,1.3464
17.124249,1.7914
17.166592,1.4761
17.203695,1.6845
17.251661,1.303
17.293306,1.5008
17.345852,1.1894
17.387675,1.4944
17.430185,1.4703
17.466798,1.707
17.513892,1.3271
17.555386,1.5062
17.606176,1.2306
17.64104,1.7927
17.681279,1.5532
17.717668,1.7176
17.764228,1.3423
17.804342,1.5581
17.852043,1.3103
17.889639,1.6624
17.934479,1.3938
17.972912,1.6262
18.021783,1.2789
18.059467,1.6585
18.104454,1.3893
18.142248,1.6537
18.189265,1.3293
18.22676,1.6669
18.270325,1.4346
18.306189,1.7427
18.350886,1.3983
18.387793,1.6934
18.432844,1.3873
18.47042,1.6633
18.518435,1.3017
18.55579,1.6731
18.603193,1.3185
18.642935,1.5726
18.692068,1.2721
18.732163,1.5588
18.780117,1.3033
18.819788,1.5755
18.868355,1.2869
18.908614,1.5525
18.957803,1.2706
18.997322,1.5815
19.049629,1.1949
19.086333,1.7028
19.131803,1.3745
19.171839,1.5611
19.222119,1.243
19.26273,1.539
19.312082,1.2664
19.35186,1.5712
19.399851,1.3023
19.439481,1.5771
19.488797,1.2673
19.529331,1.5419
19.578972,1.2591
19.619533,1.5409
19.668973,1.2642
19.709542,1.5406
19.760071,1.2369
19.801283,1.5165
19.851303,1.2495
19.890957,1.5761
19.94068,1.257
19.979435,1.6127
20.024054,1.4007
20.059386,1.769
20.098722,1.5889
20.130803,1.9482
20.166919,1.7305
20.196473,2.1148
20.232601,1.73
20.260729,2.222
20.295621,1.7912
20.322135,2.3573
20.354627,1.9235
20.381555,2.3209
20.413351,1.9657
20.439389,2.4003
20.471202,1.9646
20.496812,2.4405
20.529491,1.9125
20.555762,2.379
20.588443,1.9124
20.613992,2.4463
20.646337,1.9323
20.673216,2.3253
20.706963,1.852
20.73525,2.2095
20.768828,1.8613
20.795877,2.3107
20.826402,2.0475
20.85191,2.4503
20.883941,1.9512
20.910949,2.3141
20.944608,1.8569
20.971315,2.3402
21.004892,1.8614
21.031077,2.3869
21.062944,1.9613
21.089466,2.3566
21.121579,1.9462
21.148723,2.3026
21.180503,1.9666
21.206939,2.3642
21.239215,1.9364
21.265488,2.3788
21.298018,1.9213
21.322972,2.5046
21.354284,1.9961
21.379708,2.4583
21.41065,2.0199
21.436363,2.4306
21.468445,1.9482
21.495004,2.3532
21.526155,2.0064
21.550916,2.5242
21.580978,2.079
21.605031,2.5985
21.635448,2.0547
21.660556,2.4893
21.692338,1.9665
21.718487,2.3901
21.750384,1.9595
21.776589,2.385
21.807583,2.0165
21.833387,2.4222
21.866487,1.8882
21.894108,2.2628
21.929153,1.7834
21.956589,2.278
21.989653,1.8903
22.013201,2.6542
22.03818,2.5022
22.068251,2.0784
22.099676,1.9889
22.127173,2.2729
22.161158,1.839
22.190257,2.1479
22.226443,1.7272
22.252363,2.4113
22.282256,2.0908
22.304344,2.8296
22.332613,2.2109
22.356346,2.6334
22.386144,2.0975
22.410995,2.515
22.4423,1.9965
22.468673,2.3698
22.502273,1.8602
22.530406,2.2215
22.56369,1.8778
22.589851,2.3891
22.622833,1.895
22.650714,2.2416
22.685547,1.7943
22.713341,2.2486
22.745555,1.9402
22.771639,2.3961
22.802384,2.0329
22.827865,2.4528
22.860023,1.9435
22.886793,2.3347
22.920564,1.8507
22.948139,2.2666
22.982199,1.835
23.007758,2.4454
23.039185,1.9887
23.066105,2.3217
23.099827,1.8534
23.127633,2.2477
23.158752,2.0084
23.183827,2.4925
23.215276,1.9873
23.240244,2.5032
23.270751,2.0487
23.293839,2.7071
23.323149,2.1323
