Time,PulseCounts
3556.414215497,1
3556.484909762,2
3556.623701394,3
3556.776995254,4
3556.848498766,5
3556.941550673,6
3556.982089954,7
3557.105045855,8
3557.177002812,9
3557.276122648,10
3557.448731472,11
3557.52357826,12
3557.601282454,13
3557.67732251,14
3557.77934738,15
3557.949925988,16
3558.017917877,17
3558.129611313,18
3558.184297687,19
3558.281992931,20
3558.423195487,21
3558.584969681,22
3558.683473485,23
3558.732911787,24
3558.79013347,25
3558.90473381,26
3567.151765987,27
3567.38646106,28
3567.529147872,29
3567.585361501,30
3567.64773911,31
3567.729595437,32
3567.815423219,33
3567.979085097,34
3568.124385361,35
3568.423198587,36
3568.642765864,37
3568.876643136,38
3569.044267155,39
3569.09356811,40
3569.611085962,41
3570.018401524,42
3570.270290774,43
3570.528859133,44
3570.7656082,45
3570.840224329,46
3571.05046525,47
3571.127079486,48
3571.29491694,49
3571.34158548,50
3571.487609401,51
3571.748808841,52
3571.864333477,53
3572.022477404,54
3572.089801782,55
3572.193043436,56
3572.26589219,57
3572.320638839,58
3572.401902985,59
3572.494428948,60
3572.632064995,61
3572.7114409,62
3572.803738409,63
3572.91949548,64
3573.025009601,65
3573.132571419,66
3573.239577203,67
3573.296261202,68
