Time,PulseCounts
3560.952514551,1
3561.302736096,2
3561.451322751,3
3561.604858694,4
3561.792949448,5
3561.986894435,6
3562.071810939,7
3562.180691614,8
3562.334250481,9
3562.562235504,10
3562.688251211,11
3562.801998769,12
3562.896048766,13
3563.06281656,14
3563.201554601,15
3563.460054223,16
3563.598002554,17
3563.821824518,18
3563.947853872,19
3564.110896997,20
3564.268964984,21
3564.633863156,22
3564.762046777,23
3564.852101301,24
3564.94315473,25
3565.088734225,26
3565.222466795,27
3565.342966033,28
3565.421109728,29
3565.484863339,30
3565.52837478,31
3565.602384582,32
