Time,PulseCounts
1548.076835979,1
1548.196059122,2
1548.436220504,3
1548.519064445,4
1548.616183737,5
1548.669089478,6
1548.738351483,7
1548.822264607,8
1548.896516021,9
1548.977889896,10
1549.095123983,11
1549.165859517,12
1549.254085286,13
1549.334253693,14
1549.409415253,15
1549.471870776,16
1549.521424302,17
1549.619354712,18
1549.781488051,19
1549.835591088,20
1549.900097939,21
1549.959390261,22
1550.013868731,23
1550.070061917,24
1550.141265179,25
1550.247085177,26
1550.342252736,27
1550.617203373,28
1550.705270727,29
1550.771338408,30
1550.846897933,31
1550.91670222,32
1551.009089481,33
1551.088305283,34
1551.244472789,35
1551.387561739,36
1551.467277441,37
1551.553299165,38
1551.613800773,39
1551.669763391,40
1551.719844039,41
1551.762770452,42
1551.821028986,43
1551.902712327,44
1551.984521356,45
1552.067677367,46
1552.116093148,47
1552.164731614,48
1552.200896411,49
1552.272207505,50
1552.300999713,51
