Time,PulseCounts
6001.099265173,1
6001.294100582,2
6001.392462133,3
6001.617194572,4
6001.643325902,5
6001.666522237,6
6001.704493152,7
6001.754324153,8
6001.800282711,9
6001.837151862,10
6001.875116444,11
6001.936311769,12
6002.033286796,13
6002.173520741,14
6002.221224214,15
6002.262686235,16
6002.270109229,17
6002.307275733,18
6002.380725738,19
6002.421442201,20
6002.456783346,21
6002.496232637,22
6002.537243194,23
6002.578756975,24
6002.623801548,25
6002.669924608,26
6002.717316283,27
6002.75436412,28
6002.784740189,29
6002.808965566,30
