Time,PulseCounts
6005.15906212,1
6005.287933481,2
6005.562719792,3
6005.665444676,4
6005.819326121,5
6005.916315611,6
6006.203760604,7
6006.288461525,8
6006.424383137,9
6006.544021016,10
6006.745493156,11
6006.897077296,12
6007.214760356,13
6007.311862032,14
6007.377759302,15
6007.496305584,16
6007.535709967,17
6007.56706367,18
6007.599640914,19
6007.647632629,20
6007.869754095,21
6007.943867676,22
6008.081048683,23
6008.127059593,24
6008.165536455,25
6008.201367213,26
6008.242202695,27
6008.27994459,28
6008.598266487,29
6008.662088155,30
6008.764791335,31
6008.796397428,32
6008.821373326,33
6009.013798652,34
6009.15052923,35
6009.274739961,36
6009.39518627,37
6009.526085139,38
6009.634243341,39
6009.750647892,40
6009.876313926,41
6009.948073886,42
6010.02556537,43
6010.113152173,44
6010.258000248,45
6010.35493346,46
6010.433208651,47
6010.477517259,48
6010.518905891,49
6010.57527577,50
6010.615363842,51
6010.646631044,52
6010.67092731,53
6010.692192656,54
6010.714979731,55
